Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"WAINGANGA AT BALAGHAT, M.P.",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
"DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH, WEST BENGAL",2018,WEST BENGAL,19,WEST BENGAL,1
"DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",2014,NAGALAND,13,NAGALAND,1
ARRAHCHHAPRA ROAD BRIDGE (KOILWER BANURA CHHAPRA),2018,BIHAR,10,BIHAR,1
"YAMUNA AT BATESWAR, U.P",2019,"UTTAR
PRADESH",9,UTTAR PRADESH,1
"GANGA AT KALA KANKAR, RAEBARELI",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"RIVER MUSI AT NAGOLE, RANGAREDDY",2019,TELANGANA,36,TELANGANA,1
"PURNA A/C OF MORNA, NANDURA VILLAGE",2016,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI A/C WITH MAND,2016,CHHATTISGARH,22,CHHATTISGARH,1
"KABINI AT BATHING GHAT, NANJANAGUD,",2017,KARNATAKA,29,KARNATAKA,1
"GOHAD DAM, GOHAD, M.P",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"MALPRABHA AT D/S OF KHANAPUR VILLAGE,",2019,KARNATAKA,29,KARNATAKA,1
"SATLUJ B/C WITH SPITI AT KHAB, DISTT.KINNAUR,",2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
GANGA AT DALMAU (RAI BAREILLY),2016,UTTAR PRADESH,9,UTTAR PRADESH,1
BHADRA AT MALLESWARAM D/S OF KIOCL,2017,KARNATAKA,29,KARNATAKA,1
"DISANG RIVER AT DILLIGHAT, DIBRUGARH",2019,ASSAM,18,ASSAM,1
"SATLUJ AT 100M D/S ,NANGAL,PUNJAB",2014,PUNJAB,3,PUNJAB,1
MAHI AT VASAD,2016,GUJARAT,24,GUJARAT,1
BEAS AT D/S PANDOH DAM,2013,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"GODAVARI D/S KAMALPUR AT M/S RAYONS LTD. DISCHARGE POINT, WARANGAL",2016,TELANGANA,36,TELANGANA,1
"CAUVERY AT KRS DAM, BALAMURIKSHETRA",2016,KARNATAKA,29,KARNATAKA,1
CAUVERY AT PALLIPALAYAM,2016,TAMIL NADU,33,TAMIL NADU,1
LAKSHMANTIRTHA AT WATER SUPPLY INTAKE POINT TO HUNSUR TOWN,2019,KARNATAKA,29,KARNATAKA,1
"GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH), BIHAR",2018,BIHAR,10,BIHAR,1
"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",2013,ASSAM,18,ASSAM,1
SANKH AT TIGRA RESERVOIR,2012,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER NARMADA AT NEMAWAR,2014,MADHYA PRADESH,23,MADHYA PRADESH,1
WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,2012,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT U/S OF LAKHWAR DAM,2018,UTTARAKHAND,5,UTTARAKHAND,1
"PENNAR AFTER CONF. WITH CHEYYURU,SOMASILE,A.P.",2014,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT",2012,UTTAR PRADESH,9,UTTAR PRADESH,1
KRISHNA AT KSHETRA MAHULI.,2012,MAHARASHTRA,27,MAHARASHTRA,1
"MAHANADI AT ARRANG, RAIPUR",2014,CHHATTISGARH,22,CHHATTISGARH,1
"THANGADI , MAHABOOBNAGAR DIST., A.P",2014,ANDHRA PRADESH,36,TELANGANA,1
"CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL., TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
"JAI BHARALI RIVER NEAR BISWANATH CHARALI, SONITPUR",2013,ASSAM,18,ASSAM,1
TUNGABHADRA AT D/S OF GANGAWATHI,2012,KARNATAKA,29,KARNATAKA,1
"SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
GANGA AT RISHIKESH U/S,2016,UTTARAKHAND,5,UTTARAKHAND,1
GANGUA AT SAMANTARAPUR,2017,ODISHA,21,ODISHA,1
KOLONG RIVER AT MARIGAON,2012,ASSAM,18,ASSAM,1
"BEAS AT U/S PATHANKOT, PUNJAB",2019,PUNJAB,3,PUNJAB,1
"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",2017,ANDHRA PRADESH,36,TELANGANA,1
"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",2014,BIHAR,10,BIHAR,1
"RIVER HUNDRI AT JOHARAPURAM(V), NEAR TEMPLE, KURNOOL",2017,ANDHRA PRADESH,28,ANDHRA PRADESH,1
RAVI AT MADHOPUR,2019,PUNJAB,3,PUNJAB,1
"SARABANGA AT SALEM, D/S OF TEXTILE DYEING INDUSTRIES EFFLUENT",2012,TAMILNADU,33,TAMIL NADU,1
"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",2014,MAHARASHTRA,27,MAHARASHTRA,1
JHELUM AT PAMPORE,2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"PAWANA RIVER AT DAPODI BRIDGE AT PAWANAMULLA SANGAM, DAPODI, HAWELI, PUNE",2017,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT YAMUNOTRI,2019,UTTARAKHAND,5,UTTARAKHAND,1
"MANJEERA RIVER - NEAR GANAPATHI SUGARS , MEDAK DIST., A.P",2014,ANDHRA PRADESH,36,TELANGANA,1
RIVER GANGA AT U/S BARAHPUR BINDTOLI,2018,BIHAR,10,BIHAR,1
NARMADA AT BADWANI,2012,MADHYA PRADESH,23,MADHYA PRADESH,1
TUNGABHADRA AT JACKWELL POINT,2016,KARNATAKA,29,KARNATAKA,1
"MANUSMAR RIVER AT RIGA, SITAMARHI, BIHAR",2018,BIHAR,10,BIHAR,1
HARBORA AT NARKATIAGANJ,2016,BIHAR,10,BIHAR,1
LAKSHMANTIRTHA D/S OF HUNSUR TOWN,2016,KARNATAKA,29,KARNATAKA,1
YAMUNA AT ALLAHABAD D/S (BALUA GHAT),2016,UTTAR PRADESH,9,UTTAR PRADESH,1
BRAHMANI AT BONAIGARH,2019,ODISHA,21,ODISHA,1
"TUNGHA AT D/S OF SHIMOGA TOWN, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
RIVER GANGA AT D/S SHUKLAGANJ,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
BRAHMANI AT PATTAMUNDAI,2012,ORISSA,21,ODISHA,1
KOEL U/S (A/C OF RIVER KARO),2012,ORISSA,21,ODISHA,1
IB AT JHARSUGUDA (INTAKE),2016,ODISHA,21,ODISHA,1
"MANER AT WARANGAL U/S, A.P.",2018,TELANGANA,36,TELANGANA,1
"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",2014,MAHARASHTRA,27,MAHARASHTRA,1
"GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI, PAITHAN, AURANGABAD",2019,MAHARASHTRA,27,MAHARASHTRA,1
"TUNGABHADRA AT D/S OF HPF, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
CAUVERY D/S NAPOKULU BDG,2016,KARNATAKA,29,KARNATAKA,1
"BHIMA AT D/S OF BDG. NEAR YADGIR,KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
SIRSIA D/S RAXAUL (KOERIA TOLA),2012,BIHAR,10,BIHAR,1
"INDRAYANID/S OF ALANDIGAON, PUNE",2016,MAHARASHTRA,27,MAHARASHTRA,1
"BHIMA AT PARGAON (AFTER CONFL.WITH MULA MUTHA),PARGAON, DAUND,",2019,MAHARASHTRA,27,MAHARASHTRA,1
"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",2016,MAHARASHTRA,27,MAHARASHTRA,1
DHELLA RIVER D/S AT THAKURDWARA ALIGANJ ROAD,2019,UTTARAKHAND,5,UTTARAKHAND,1
MULA RIVER AT HARRISON BRIDGE NEAR MULA- PAWANA SANGAM.,2014,MAHARASHTRA,27,MAHARASHTRA,1
NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),2016,NAGALAND,13,NAGALAND,1
