Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
2381,BOKARO AT JARANDI,2016,JHARKHAND,28,28,6.7,6.7,7.3,7.3,,,2.5,2.5,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1260,BRAHAMPUTRA AT KHERGHAT (A/C WITH DIBANG & DIHANG),2016,ASSAM,19,28,5.8,9,6.8,8.2,76,271,0.5,2.5,0.1,2.1,2,1500,910,120000,2016,"Calendar Year (Jan - Dec), 2016"
1030,BRAHAMPUTRA AT DIBRUGARH,2016,ASSAM,18,30,6.1,10.5,7.2,8.2,71,260,0.6,2.6,0.1,0.3,300,2000,360,7500,2016,"Calendar Year (Jan - Dec), 2016"
1262,BRAHAMPUTRA AT NIMATIGHAT,2016,ASSAM,14,28,5.3,7.8,7.1,8,74,156,1,3.9,0.1,0.5,300,1500,910,24000,2016,"Calendar Year (Jan - Dec), 2016"
1526,BRAHMPUTRA AT DHENUKHAPAHAR,2016,ASSAM,19,26,6.3,8.4,6.9,8,74,241,0.7,4.8,0.2,1.2,2,2000,730,29000,2016,"Calendar Year (Jan - Dec), 2016"
1031,BRAHAMPUTRA AT PANDU,2016,ASSAM,20,32,6.4,7.6,7.1,8.1,66,152,0.8,2.7,0.1,1.5,360,2800,720,29000,2016,"Calendar Year (Jan - Dec), 2016"
2066,BRAHMAPUTRA AT DHUBRI,2016,ASSAM,21,31,4.7,6.6,6.9,7.9,93,151,1,3,0.1,0.4,360,2100,1500,46000,2016,"Calendar Year (Jan - Dec), 2016"
1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,2016,ASSAM,21,32,5.2,6.3,7.2,8.3,104,183,0.9,2.5,0.1,0.3,300,1500,1400,21000,2016,"Calendar Year (Jan - Dec), 2016"
2069,"BRAHMPUTRA NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",2016,ASSAM,20,28,6.2,8.2,7.1,8.4,84,153,0.4,2.4,0.1,0.6,300,4300,1500,120000,2016,"Calendar Year (Jan - Dec), 2016"
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",2016,ASSAM,21,29,5.9,8,6.5,8.1,54,104,0.7,4.7,0.1,2,300,2100,1500,110000,2016,"Calendar Year (Jan - Dec), 2016"
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP",2016,ASSAM,21,34,4.9,8.1,7.2,8.4,88,216,0.6,4.5,0.1,0.6,300,1100,1400,110000,2016,"Calendar Year (Jan - Dec), 2016"
2068,"KATHAKAL, U/S AT MATIJURI, DIST. HAILAKANDI",2016,ASSAM,21,27,5.4,5.9,6.8,8.3,54,142,0.7,2.8,0.1,2.7,2,2100,730,9300,2016,"Calendar Year (Jan - Dec), 2016"
1259,DHANSIRI AT GOLAGHAT,2016,ASSAM,18,28,5.3,8.4,6.8,8.4,74,171,0.9,2.6,0.1,2.9,73,3400,910,21000,2016,"Calendar Year (Jan - Dec), 2016"
1796,"DHANSIRI, FULL NAGARJAN",2016,NAGALAND,17,32,0.7,6.8,7,8.4,72.5,634,1,8,0,1.2,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1797,"DHANSIR,BRIDGE NEAR PURANA BAZAAR",2016,NAGALAND,18,33,0.7,6.7,7,7.8,77.2,258,1,10,0,1.5,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1798,NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),2016,NAGALAND,18,34,0.8,7.5,7,7.7,6,257,0.7,9,0,1.3,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1799,"DHANSIR, TOWN BOUNDARY BRIDGE (DIPHU ROAD)",2016,NAGALAND,16,31,0.6,6.6,6.5,7.7,70.3,212,1,8,0,1.6,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1800,"DHANSIR, NUTON BASTI",2016,NAGALAND,16,32,0.2,4.5,6.5,7.7,91.9,442,3,50,0,12,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1928,"DHANSIRI AT NAGALAND ASSAM BORDER, DIMAPUR",2016,NAGALAND,18,33,0.2,5.3,7,8.1,85,436,2,25,0,2.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",2016,NAGALAND,20,32,0.8,7.1,7.4,9,63.4,149.4,2,7,0,21,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1930,DZU D/S KOHIMA TOWN,2016,NAGALAND,14,27,1.1,7.2,7.5,9.2,192,624,2,7,0,53,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2240,BARAK D/S OF SILCHAR,2016,ASSAM,24,29,5.5,5.9,6.8,7.8,41,170,1.1,4.2,0.1,1.2,300,1100,910,110000,2016,"Calendar Year (Jan - Dec), 2016"
2238,BEKI AT NH37 CROSSING AT BARPETA ROAD,2016,ASSAM,20,30,5,6,7.3,8.3,71,315,0.9,3.5,0.1,1.2,2,16000,2,7500,2016,"Calendar Year (Jan - Dec), 2016"
1528,BHARALU AT GUWAHATI,2016,ASSAM,20,32,0,0.3,6.9,7.6,238,794,8.2,52,0.8,8.9,720,240000,3500,240000,2016,"Calendar Year (Jan - Dec), 2016"
1527,BHOGDOI AT JORHAT,2016,ASSAM,17,31,4.5,6.2,6.7,8,59,134,1,4.5,0.1,1.1,720,3900,3500,110000,2016,"Calendar Year (Jan - Dec), 2016"
2233,"BOGINADI NEAR BRIDGE NH52, LAKHIMPUR",2016,ASSAM,12,32,6.8,8.6,7,8.2,46,109,0.5,2.8,0.1,0.2,2,910,700,240000,2016,"Calendar Year (Jan - Dec), 2016"
1423,BORAK AT PANCHAGRAM,2016,ASSAM,20,27,5.5,5.9,6.8,8,46,122,0.7,3.5,0.1,2.5,300,2900,910,120000,2016,"Calendar Year (Jan - Dec), 2016"
1422,BURHIDIHING AT MARGHERITA,2016,ASSAM,19,31,4.2,9.5,6.8,7.9,52,219,0.6,4,0.1,1.1,2,1000,360,21000,2016,"Calendar Year (Jan - Dec), 2016"
2230,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),2016,ASSAM,18,29,4.5,8.4,6.8,8.1,56,186,0.6,2.6,0.1,0.8,2,910,1000,21000,2016,"Calendar Year (Jan - Dec), 2016"
2062,BURIDIHING D/S NEAR DULIAJAN TINSUKIA,2016,ASSAM,18,31,6.1,9.2,7.1,8.1,56,186,0.6,3.8,0.1,0.6,300,2000,1400,21000,2016,"Calendar Year (Jan - Dec), 2016"
1529,DEEPAR BEEL,2016,ASSAM,22,33,3.1,12.2,6.8,8.2,121,294,0.8,11,0.5,1.4,300,2100,730,21000,2016,"Calendar Year (Jan - Dec), 2016"
1530,"DIGBOI AT LAKHIPATHE, RESERVE FOREST, DIGBOI",2016,ASSAM,18,30,3,7.6,6.4,10,43,835,1.2,14,0.1,8,2,1400,1500,29000,2016,"Calendar Year (Jan - Dec), 2016"
2231,DIKHOW AT DIKHOW BRIDGE SIVASAGAR,2016,ASSAM,18,30,4.9,7.9,6.6,7.8,67,208,0.6,3,0.1,0.7,300,7500,1500,110000,2016,"Calendar Year (Jan - Dec), 2016"
1298,DISANG AT GUNDAMGHAT,2016,ASSAM,17,30,4.8,6.7,6.2,7.9,52,218,0.6,4.2,0.2,4.3,2,2800,360,110000,2016,"Calendar Year (Jan - Dec), 2016"
2058,"DISANG AT DILLIGHAT, DIBRUGARH DIST",2016,ASSAM,19,28,3.4,8,6.8,8.3,56,171,0.8,2.8,0.1,0.7,2,730,1400,21000,2016,"Calendar Year (Jan - Dec), 2016"
2063,"JAI BHARALI NEAR BISWANATH CHARALI, SONITPUR",2016,ASSAM,15,30,6.5,8.8,7,8.2,44,72,0.4,2.1,0.1,1.1,2,720,300,29000,2016,"Calendar Year (Jan - Dec), 2016"
1258,JHANJI AT N.H. CROSSING JORHAT,2016,ASSAM,17,30,4.8,7.5,6.4,8.1,36,124,1.1,3.8,0.1,2.1,300,1400,930,110000,2016,"Calendar Year (Jan - Dec), 2016"
2237,"KALONG AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",2016,ASSAM,21,32,3.6,6.7,6.4,7.7,38,188,0.8,3.7,0.1,4.6,300,24000,2800,240000,2016,"Calendar Year (Jan - Dec), 2016"
2236,"KAPILI AT DHARMTUL BRIDGE, NH 31, NAGAON",2016,ASSAM,20,33,5,8.3,6.3,7.9,54,96,0.8,3.3,0.1,1.1,360,12000,1500,29000,2016,"Calendar Year (Jan - Dec), 2016"
2523,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",2016,WEST BENGAL,20,34,4.1,8.4,6.7,7.8,52.6,138.5,1,3.3,0,0.5,2100,30000,7000,90000,2016,"Calendar Year (Jan - Dec), 2016"
