srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Andhra Pradesh,Kotturu,2021,28,ANDHRA PRADESH,1
Uttar Pradesh,Gaura Badshahpur,2021,9,UTTAR PRADESH,1
Madhya Pradesh,Dahi,2021,23,MADHYA PRADESH,1
Tamil Nadu,Karuppur,2021,33,TAMIL NADU,1
Uttar Pradesh,Barua Sagar,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Bhanpur Kasba Np,2021,9,UTTAR PRADESH,1
Karnataka,Kotturu,2021,29,KARNATAKA,1
Tamil Nadu,Perungalathur,2021,33,TAMIL NADU,1
Chhattisgarh,Koora,2021,22,CHHATTISGARH,1
Gujarat,Pethapur,2021,24,GUJARAT,1
Uttarakhand,Shaktigarh,2021,5,UTTARAKHAND,1
Uttar Pradesh,Suar,2021,9,UTTAR PRADESH,1
Maharashtra,Pimpri Dumala,2021,27,MAHARASHTRA,1
Rajasthan,Chomu,2021,8,RAJASTHAN,1
Uttar Pradesh,Sultanpur,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Ailam,2021,9,UTTAR PRADESH,1
Manipur,Moirang,2021,14,MANIPUR,1
Haryana,Siwani,2021,6,HARYANA,1
Andhra Pradesh,Poolapalle,2021,28,ANDHRA PRADESH,1
Maharashtra,Akola,2021,27,MAHARASHTRA,1
Madhya Pradesh,Betma Khurd,2021,23,MADHYA PRADESH,1
Kerala,Tirurangadi,2021,32,KERALA,1
Punjab,Kharar,2021,3,PUNJAB,1
Gujarat,Ranavav,2021,24,GUJARAT,1
Rajasthan,Bandikui,2021,8,RAJASTHAN,1
Telangana,Bhongir,2021,36,TELANGANA,1
Assam,Pathsala,2021,18,ASSAM,1
Madhya Pradesh,Rajgarh,2021,23,MADHYA PRADESH,1
Kerala,Vadakara,2021,32,KERALA,1
Karnataka,Bankapura,2021,29,KARNATAKA,1
Tamil Nadu,Katchur,2021,33,TAMIL NADU,1
Uttar Pradesh,Bareilly(CB),2021,9,UTTAR PRADESH,1
Andhra Pradesh,Kaikaluru,2021,28,ANDHRA PRADESH,1
West Bengal,Khirpai,2021,19,WEST BENGAL,1
Andhra Pradesh,Mahadevapatnam,2021,28,ANDHRA PRADESH,1
Madhya Pradesh,Tendukheda,2021,23,MADHYA PRADESH,1
Uttar Pradesh,Kemri,2021,9,UTTAR PRADESH,1
Assam,Rangia,2021,18,ASSAM,1
Haryana,Taraori,2021,6,HARYANA,1
Gujarat,Kudasan,2021,24,GUJARAT,1
Tamil Nadu,R.Pudupatti,2021,33,TAMIL NADU,1
Haryana,Ratia,2021,6,HARYANA,1
Uttar Pradesh,Radhakund,2021,9,UTTAR PRADESH,1
Haryana,Naraingarh,2021,6,HARYANA,1
Maharashtra,Hingana,2021,27,MAHARASHTRA,1
Maharashtra,Rajapur,2021,27,MAHARASHTRA,1
Gujarat,Deladva,2021,24,GUJARAT,1
Kerala,Ponnani,2021,32,KERALA,1
Assam,Mangaldoi,2021,18,ASSAM,1
Madhya Pradesh,Jabalpur Cantt,2021,23,MADHYA PRADESH,1
Himachal Pradesh,Chaupal,2021,2,HIMACHAL PRADESH,1
Gujarat,Kherali,2021,24,GUJARAT,1
Gujarat,Reliance Complex,2021,24,GUJARAT,1
Madhya Pradesh,Bamor,2021,23,MADHYA PRADESH,1
Tamil Nadu,Thathaiyangarpet,2021,33,TAMIL NADU,1
Andhra Pradesh,Devarapalle,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Krishnarayapuram,2021,33,TAMIL NADU,1
Rajasthan,Kherwari,2021,8,RAJASTHAN,1
Rajasthan,Khetri,2021,8,RAJASTHAN,1
Tamil Nadu,Bikketti,2021,33,TAMIL NADU,1
Tamil Nadu,Injambakkam,2021,33,TAMIL NADU,1
Uttar Pradesh,Aonla,2021,9,UTTAR PRADESH,1
Rajasthan,Bhojiyawas,2021,8,RAJASTHAN,1
Odisha,Titlagarh,2021,21,ODISHA,1
Maharashtra,Kirmiti,2021,27,MAHARASHTRA,1
Tamil Nadu,Aduthurai,2021,33,TAMIL NADU,1
Maharashtra,Niphad,2021,27,MAHARASHTRA,1
Madhya Pradesh,Badarwas,2021,23,MADHYA PRADESH,1
Andhra Pradesh,Pakalapadu,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Ananthapuram,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Udumalaipettai,2021,33,TAMIL NADU,1
Karnataka,Davanagere,2021,29,KARNATAKA,1
Punjab,Bhairupa,2021,3,PUNJAB,1
Tamil Nadu,Dharapuram,2021,33,TAMIL NADU,1
Uttar Pradesh,Raniganj,2021,9,UTTAR PRADESH,1
Punjab,Dharamkot,2021,3,PUNJAB,1
Tamil Nadu,Tittacheri,2021,33,TAMIL NADU,1
Chhattisgarh,Chirmiri,2021,22,CHHATTISGARH,1
