ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5181,India,23,Madhya Pradesh,Shadora,2021,65.27,25.39,8.3,1694,1657,534,2021,"Calendar Year (Jan - Dec), 2021"
5182,India,29,Karnataka,Shahabad,2021,144.07,39.91,5.41,2661,1055,378,2021,"Calendar Year (Jan - Dec), 2021"
5183,India,9,Uttar Pradesh,Shahabad,2021,59.55,26.96,5.07,1797,1433,641,2021,"Calendar Year (Jan - Dec), 2021"
5184,India,9,Uttar Pradesh,Shahabad(NP),2021,200.48,78.86,31.7,5257,3352,1376,2021,"Calendar Year (Jan - Dec), 2021"
5185,India,27,Maharashtra,Shahade,2021,19.14,3.66,2.29,223,179,128,2021,"Calendar Year (Jan - Dec), 2021"
5186,India,27,Maharashtra,Shahapur,2021,86.91,14.12,14.12,601,601,601,2021,"Calendar Year (Jan - Dec), 2021"
5187,India,6,Haryana,Shahbad,2021,138.19,25.39,3.72,1672,362,155,2021,"Calendar Year (Jan - Dec), 2021"
5188,India,9,Uttar Pradesh,Shah Beri,2021,4.99,0.83,0.83,35,35,35,2021,"Calendar Year (Jan - Dec), 2021"
5189,India,9,Uttar Pradesh,Shahbuddinpur Nagar,2021,0.14,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5190,India,9,Uttar Pradesh,Shahdara,2021,0.22,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5191,India,9,Uttar Pradesh,Shahdara,2021,0.47,0.08,0.08,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5192,India,23,Madhya Pradesh,Shahdol,2021,185.13,63.69,16.51,4229,2207,918,2021,"Calendar Year (Jan - Dec), 2021"
5193,India,9,Uttar Pradesh,Shahganj,2021,41.97,18.62,5.11,1240,620,281,2021,"Calendar Year (Jan - Dec), 2021"
5194,India,23,Madhya Pradesh,Shahganj,2021,24.7,8.5,6.75,566,566,319,2021,"Calendar Year (Jan - Dec), 2021"
5195,India,23,Madhya Pradesh,Shahgarh,2021,49.71,18.81,7.76,1254,1074,487,2021,"Calendar Year (Jan - Dec), 2021"
5196,India,9,Uttar Pradesh,Shahi,2021,7.7,3.05,0.34,203,159,59,2021,"Calendar Year (Jan - Dec), 2021"
5197,India,9,Uttar Pradesh,Shahjahanpur,2021,33.24,11.92,3.08,791,739,63,2021,"Calendar Year (Jan - Dec), 2021"
5198,India,9,Uttar Pradesh,Shahjahanpur,2021,214.3,81.17,29.29,5400,3476,1837,2021,"Calendar Year (Jan - Dec), 2021"
5199,India,9,Uttar Pradesh,Shahjahanpur(CB),2021,2.49,0.23,0.23,13,13,13,2021,"Calendar Year (Jan - Dec), 2021"
5200,India,3,Punjab,Shahkot,2021,6.25,2.73,0.52,184,83,24,2021,"Calendar Year (Jan - Dec), 2021"
5201,India,9,Uttar Pradesh,Shahpur,2021,0.52,0.08,0.08,5,5,5,2021,"Calendar Year (Jan - Dec), 2021"
5202,India,10,Bihar,Shahpur,2021,29.79,8.19,1.57,543,76,27,2021,"Calendar Year (Jan - Dec), 2021"
5203,India,29,Karnataka,Shahpur,2021,86.93,27.11,7.95,1806,1385,404,2021,"Calendar Year (Jan - Dec), 2021"
