srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2014,Rajasthan,Jaipur,VKIA,118.0,24.0,63.0,44.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,"DIC Office, Industrial Estate",40.0,21.0,62.0,33.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,Sojati Gate,40.0,19.0,63.0,35.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",39.0,17.0,68.0,30.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,Maha Mandir Police Thane,39.0,13.0,39.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",39.0,16.0,53.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jodhpur,Shastri Nagar Police Thana,38.0,17.0,65.0,33.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Kota,"Regional Office, RJPB, Anantpura",105.0,31.0,53.0,38.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Kota,Municipal Corporation Building,105.0,29.0,47.0,34.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Kota,Samcore Glass Ltd.,105.0,28.0,43.0,35.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Udaipur,Town Hall,104.0,24.0,39.0,33.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Udaipur,"Regional Office,MIA",102.0,25.0,85.0,35.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam",94.0,10.0,20.0,15.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,"Govt. High School, Manali",93.0,10.0,20.0,15.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Thiruvottiyur,96.0,11.0,19.0,16.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Madras Medical College,86.0,8.0,50.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,"NEERI, CSIR CampusTaramani",87.0,5.0,54.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Thiruvottiyur Municipal Office,86.0,7.0,55.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Adiyar,115.0,14.0,26.0,19.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Kilpauk,116.0,16.0,35.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Thiyagaraya Nagar,112.0,17.0,35.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Chennai,Anna Nagar,110.0,13.0,33.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",103.0,17.0,39.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,92.0,17.0,34.0,26.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Coimbatore,"SIDCO Office, Coimbatore/ Kurichi",97.0,20.0,41.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Madurai,Highway (Project I) Building,96.0,12.0,49.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Madurai,Fenner (I) Ltd. Kochadai,101.0,14.0,71.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
