srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2019,Telangana,Hyderabad,Jublee Hills,119.0,4.0,11.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Hyderabad,Paradise,119.0,4.0,13.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Hyderabad,Charminar,119.0,3.0,10.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Hyderabad,Zoo Park,85.0,2.0,9.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,Aminabad / S.M.K Chowk,279.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Hyderabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",119.0,3.0,11.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Karimnagar,"On the terrace of the DIC building, Karimnagar",87.0,6.0,14.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Khammam,CER Club Khamam,100.0,7.0,14.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Khammam,Jalasoudha building,102.0,6.0,11.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Kothur,Mehaboobnagar,104.0,7.0,13.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Nalgonda,AP PCB Nalgonda,99.0,3.0,7.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Nalgonda,M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V & M),99.0,4.0,7.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Nizamabad,"subashnagar,nizamabad dist",99.0,4.0,6.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Patencheru,"Police Station, Medak, Ramachadrapuram",93.0,4.0,7.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Sangareddy,Pashamylaram/Municipal Office,118.0,2.0,52.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2020,Mizoram,Aizawl,Bawngkawn,,2.0,2.0,2.0,2020,"Calendar Year (Jan - Dec), 2020"
2019,Telangana,Sangareddy,Regional office Building of SANGAREDDY,98.0,3.0,6.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Sangareddy,"M/s. Mylan Industries, Gaddapothara",99.0,5.0,7.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Warangal,"KUDA Office, Hanumakonda",99.0,6.0,11.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Telangana,Warangal,"MeeSeva Building ,Municipal Complex",98.0,6.0,11.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Tripura,Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru Complex, Gorkhabasti, Kunjaban",83.0,2.0,6.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Tripura,Agartala,"Bordowali Bipani Bitan, Agartala MC, Bordowali, Near Nagerjala",83.0,2.0,6.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",94.0,8.0,43.0,22.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",91.0,10.0,50.0,28.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,"Regional Office, Bodla",90.0,3.0,6.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,Nunhai,94.0,3.0,12.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,Taj Mahal,242.0,2.0,34.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,DIC Nunhai,125.0,2.0,21.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,Etmaduddaulah,130.0,2.0,35.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Agra,Rambagh,124.0,2.0,20.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,92.0,2.0,16.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,102.0,2.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Allahabad,Alopibagh/Sewage Pumping Stations,92.0,2.0,5.0,3.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Allahabad,Jhonstonganj/cooperative Bank,57.0,2.0,3.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Allahabad,Rambagh/Parag Dairy,82.0,2.0,5.0,3.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",95.0,10.0,22.0,17.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",97.0,11.0,21.0,17.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Baghpat,"Sarvodaya Hospital, Tatiri Merrut, Baghpat Road",93.0,6.0,37.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Baghpat,"Weavetex Overseas Hostel, Khekra, Baghpat",96.0,7.0,37.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Bareily,IVRI Izatnaga,107.0,10.0,45.0,22.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Bareily,"Indian oetrol pump, Civil Line",107.0,13.0,62.0,31.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Firozabad,Center for Development of Glass Industry,104.0,6.0,12.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Firozabad,Tilak Nagar,104.0,6.0,12.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Firozabad,Raza ka Tal,103.0,6.0,12.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2021,Karnataka,Chikkaballapur,,,,,6.0,2021,"Calendar Year (Jan - Dec), 2021"
2019,Uttar Pradesh,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",93.0,5.0,30.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,87.0,5.0,26.0,13.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Ghaziabad,"Khora Colony, Ghaziabad Vinoba Bhave Park, Lohia Nagar, Ghaziabad M. M.M. Engineering College, Gorakhpur",86.0,7.0,35.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",101.0,18.0,62.0,33.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Gorakpur,"Jalkal, Muncipal Corporation, Golghar",92.0,9.0,55.0,24.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Greater Noida,"Holland Tractor, Greater Noida",88.0,6.0,48.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Greater Noida,"Honda Power, Greater Noida",88.0,6.0,48.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Hapur,"Srinagar Colony, Railway Road, Hapur",89.0,5.0,28.0,13.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Hapur,"Jindal Pipes Ltd, Hapur",70.0,5.0,28.0,16.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Jhansi,Manik Chawk / Jal chauraha,117.0,4.0,20.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Jhansi,Veeranga Nagar,117.0,3.0,18.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",93.0,6.0,20.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,Chamber Of Commerce Darshanpurwa /,94.0,6.0,11.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,Deputy ka Parao,,,,,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site5",83.0,7.0,11.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"Head Post Office, Govind Nagar / Dabauli / Shastri NGR",83.0,6.0,10.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,Jajmau / Awas Vikas,93.0,6.0,9.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"I.I.T. Campus, Kanpur",100.0,2.0,2.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,IIT 12 parameter,48.0,2.0,2.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"Dada Nagar, Kanpur",91.0,3.0,17.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Kanpur,"Ramadevi, Kanpur",88.0,2.0,4.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,95.0,19.0,26.0,22.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Khurja,Ahirpara,92.0,19.0,23.0,20.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,Mahanagar,225.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",270.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",187.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,Talkatora,268.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,Nagar Nigam,268.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,"Ansal Technical Institute Campus, Ansal API",266.0,4.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Lucknow,Vikas Khand,56.0,2.0,2.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",81.0,8.0,15.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Mathura,"CETP, Industrial Area, Mathura",83.0,10.0,17.0,13.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Meerut,Begum Bridge,59.0,9.0,12.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Meerut,Thana Railway Road / Kesarganj,59.0,7.0,8.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Moradabad,"Hindu College, Station Road",91.0,8.0,60.0,32.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Moradabad,"Central Police Hospital, Civil Lines",90.0,5.0,39.0,20.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Muzaffarnagar,"Sahara Parivar Office, Kamal Cinema, Building, Railway Station Road",97.0,6.0,13.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Muzaffarnagar,"Lekhpal Bhawan, Tehsil Sadar Campus",97.0,7.0,15.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Noida,"UP PPCB, E12/1, Sector 1",97.0,5.0,31.0,14.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Noida,GeePee Electroplating and Eng. Work,96.0,5.0,30.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Noida,"Subros, Noida Golf Course, Noida",92.0,6.0,39.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",54.0,7.0,10.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,54.0,12.0,16.0,14.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Raebareli,Amawan Road Ind. Area Raebareli,54.0,7.0,11.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Saharanpur,"SREA, IIT Roorkee, Saharanpur Campus",92.0,9.0,25.0,16.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Saharanpur,"UPCL S.E. Office, Near Clock Tower",91.0,10.0,23.0,16.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Unnao,"H. No. 5, Krishna Nagar",74.0,7.0,11.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Unnao,"IIA Building, Industrial Area, Site 10",74.0,8.0,11.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",98.0,4.0,14.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Varanasi,Sigra,191.0,3.0,14.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Varanasi,Saket Nagar,93.0,6.0,15.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Varanasi,Banaras Hindu University,91.0,6.0,12.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttar Pradesh,Varanasi,Chandpur,88.0,9.0,16.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",68.0,21.0,26.0,23.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",70.0,23.0,27.0,25.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,68.0,23.0,28.0,26.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Haldwani,Govt. Women Hospital,103.0,5.0,32.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Haridwar,"SIDCUL, Haridwar",66.0,16.0,23.0,20.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Kashipur,"BSNL Office, Kashipur",97.0,13.0,24.0,14.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Rishikesh,Nagar Palika Parishad,78.0,19.0,25.0,22.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Uttarakhand,Rudrapur,SIDCUL Office,87.0,12.0,23.0,14.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Alipurduar,Rabikanta High School,103.0,2.0,11.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Alipurduar,Jaigaon Police Station,102.0,2.0,12.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Alipurduar,Birpara Police Station,104.0,2.0,13.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Amtala,"P Roy Industrial Training Institute, Amtala",104.0,2.0,12.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Asansol,Asansol Municipal Corporation,104.0,8.0,18.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",104.0,7.0,19.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Asansol,"Burnpur Town Department, Burnpur",104.0,11.0,18.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Baharampur,Baharampur Municipality,104.0,2.0,22.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Balurghat,Balurghar College,104.0,2.0,12.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Bankura,Bankura Municipility,104.0,2.0,14.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Barasat,"Barasat Municipility, 73 Rishi Bankim",103.0,2.0,20.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Barasat,Chandra Road,,,,,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Bardhaman,"Bardhaman Town, Rajbati",104.0,2.0,14.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Barrackpore,Barrackpore Municiaplity,104.0,2.0,19.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Barrackpore,Dum Dum Telephone Exchange,103.0,3.0,16.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Barrackpore,Khardah Municipality,103.0,4.0,21.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Baruipur,"Bauipur Police Station, Baruipur",104.0,2.0,16.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Bolpur,Bolpur Municipility,104.0,2.0,15.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",104.0,2.0,18.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Coochbehar,ABM Seal College,104.0,2.0,14.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Coochbehar,"Uttarbanga Krishi Visvavidyalaya, Pundibari",104.0,2.0,11.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Dankuni,"Krishnanagar Municipility, Dankuni",104.0,2.0,18.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Darjeeling,Bose Institute Campus,104.0,2.0,10.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Durgapur,"DMC Water Works, Angadpur",104.0,9.0,17.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",104.0,2.0,18.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",103.0,7.0,22.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Durgapur,"Dew India Limited, PCBL More, Durgapur",104.0,2.0,18.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Ghatal,"Annapurna Hotel, GhatalPanskura Bus Stand",107.0,2.0,22.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Haldia,"Debhog Milan Viyapith, Bhabanipur",107.0,4.0,19.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Haldia,"Bhunia Raichak, Driver's Hut, Bhunia",105.0,3.0,22.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Haldia,"Supermarket Building, Durgachak",106.0,2.0,20.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Haldia,WBIIDC Ruchi Soya Ind. Durgachak,106.0,2.0,20.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Howrah,Howrah Municipal Corporation,105.0,5.0,26.0,13.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",107.0,3.0,21.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Howrah,"CDS & Health Centre, Bator",104.0,6.0,23.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",104.0,4.0,23.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Jalpaiguri,Raninagar Jalpaigur,106.0,2.0,12.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Jhargram,Jhargram,105.0,3.0,19.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kalimpong,Kalimpong Municipality,104.0,2.0,10.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kalyani,"College of Medicine & JNM Hospital, Kalyani Industrial Area",104.0,2.0,20.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kharagpur,"AMD Building, TATA Bearing",106.0,5.0,24.0,13.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",104.0,2.0,13.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"KMC office Building, Moulali",104.0,2.0,18.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",104.0,3.0,15.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey",104.0,4.0,18.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",104.0,3.0,18.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Upanagari Sporting Club, Baishnabghata",104.0,2.0,17.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",79.0,2.0,35.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Dalhousie Square, Lal Bazzar Police Headqtr.",79.0,2.0,36.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,Kasba,78.0,2.0,37.0,5.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,RD CPCB,111.0,2.0,22.0,4.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Infectious Diseases & BG Hospital, Beliaghata",104.0,2.0,18.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"CESC Building, Mandeville Gardens, Gariahat",104.0,2.0,13.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Administrative Building, Hyde Road",104.0,3.0,20.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"KMC Drainage, Pumping Station, 9 Mominpur Road, Mominpur",104.0,2.0,14.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,Paribesh Bhawan,104.0,2.0,20.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Milan Tirtha Club, Picnic Garden",104.0,2.0,22.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Public Health Engineering Office Building, Rajarhar",104.0,2.0,20.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Tennis Club Biulding, 4546 Canal West Road, Fariapukur, Shyambazar",104.0,3.0,17.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Elite India Rubber Products Pvt.Ltd., Topsia",104.0,3.0,17.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,"Maniktala Fire Station Building, 17, Bagmari Lane, Ultadanga",104.0,3.0,23.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Kolkata,Tollygunge,104.0,2.0,12.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Krishnanagar,"Krishnanagar Municipility, TN Thakur Road",104.0,2.0,15.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Madhyamgram,Madhyamgram Municipality,103.0,2.0,20.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Malda,"WBPCB Office, Paribesh Bhaban, Vill. Abhirampur",103.0,2.0,13.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Medinipur,Vidyasagar University,107.0,4.0,18.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Purulia,Purulia Municipility,104.0,2.0,13.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Raigunj,Raigunj College,104.0,2.0,28.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Rampurhat,Rampurhat Municipility,104.0,2.0,12.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Ranaghat,"Ranaghat Municipility, 11 school lane",104.0,2.0,17.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Raniganj,Raniganj Municipality,104.0,10.0,19.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Raniganj,"Mangalpur, SKS School Mangalpur",104.0,8.0,18.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Raniganj,Jamuria Municipality,104.0,7.0,20.0,15.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Rishra,Rishra Municipility,104.0,2.0,21.0,8.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Sankrail,Bharat Coop Housing Society,104.0,2.0,23.0,9.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Sankrail,"Bagan Police Station, Bagan",104.0,3.0,23.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Sankrail,Dhulagar Gram Pachayat,106.0,5.0,23.0,12.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",104.0,4.0,34.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Siliguri,Siliguri,105.0,2.0,13.0,6.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Suri,Suri Municipility,104.0,2.0,15.0,2.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Tamluk,"HP Gas Service Station, Maniktala",106.0,3.0,23.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Tribeni,Tribeni Health Center,104.0,2.0,16.0,7.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,West Bengal,Uluberia,"ESI hospital nursing building, 3rd floor, Near Sahib Mandir",104.0,3.0,23.0,10.0,2019,"Calendar Year (Jan - Dec), 2019"
2019,Odisha,Angul,Industrial Estate,102.0,6.0,19.0,11.0,2019,"Calendar Year (Jan - Dec), 2019"
