srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2013,Haryana,Hissar,Guru Jambehswar University,9.0,6.0,7.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Haryana,Yamuna Nagar,Ballarpur Industries,13.0,8.0,12.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Haryana,Yamuna Nagar,Industry Department Office Building,94.0,2.0,30.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Baddi,AHC barotiwala,84.0,2.0,3.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Baddi,Housing Board,125.0,2.0,5.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Kerala,Wayanad,PRS Hospital/COSMO,106.0,6.0,11.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Damtal,Regional Office,141.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Damtal,Old Road,137.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,146.0,2.0,4.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,153.0,2.0,3.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Nalagarh,Municipal Council,135.0,2.0,5.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Parwanoo,"Regional Office, Sector 4",149.0,2.0,7.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Parwanoo,Asst. Commissioner Building Sector I,139.0,2.0,9.0,3.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Paonta Sahib,Paonta Sahib,135.0,2.0,4.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,109.0,2.0,6.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Shimla,Tekka Bench Ridge,134.0,2.0,4.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Shimla,"Bus Stand, Winterfield",123.0,2.0,15.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Una,"Regional Office, Una",101.0,2.0,9.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Una,"DIC Building, Mehatpur, Una",64.0,2.0,6.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",135.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Sunder Nagar,"Muncipal Council, NH21, Mandi",67.0,2.0,3.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Manali,"Nehru Park, Manali, District Kullu",119.0,2.0,7.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Manali,"HPSPCB, Hadimba Road, Manali, Kullu",106.0,2.0,8.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Himachal Pradesh,Manali,"Regional Office, Jammu",72.0,2.0,14.0,3.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk",80.0,2.0,12.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jammu & Kashmir,Jammu,Bari Brahamana Industrial Area,80.0,2.0,11.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jammu & Kashmir,Jammu,R.O. Dhanbad,60.0,12.0,21.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Dhanbad,"EMTI, Bastacola",45.0,12.0,28.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Dhanbad,"CGM Office, Kusunda",40.0,12.0,23.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,75.0,26.0,42.0,35.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,72.0,27.0,40.0,34.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Jharia,M.A.D.A.,59.0,12.0,25.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",68.0,15.0,32.0,19.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Sindri,BIT / PDIL,54.0,13.0,23.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Sindri,"Graphite India, White Field Road",96.0,11.0,23.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Sindri,Yeshwanthpura police station,108.0,10.0,32.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Jharkhand,Sindri,Peenya Industrial Area,90.0,12.0,29.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",109.0,10.0,24.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Bangalore,"AMCO Batteries, Mysore Road",107.0,10.0,24.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Bangalore,"Jnanabharathi, Bangalore University",67.0,6.0,10.0,8.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt Ltd",100.0,6.0,8.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Bangalore,Victoria hospital,104.0,11.0,19.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Belgaum,Karnataka SPCB Office Building,83.0,2.0,2.0,2.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Hassan,KSRTC bus stand building,100.0,5.0,6.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,HubliDharwad,"Lakkamanahalli Industrial Area, Dharwad",104.0,4.0,10.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Dharwad,"Rani Chennamma Circle, Hubli",103.0,4.0,10.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Mandya,"KSPCB Building, Bandigowda Badarahe",102.0,9.0,16.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Mangalore,Baikampady Industrial Area,86.0,4.0,11.0,8.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg",101.0,8.0,15.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,102.0,9.0,18.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
