ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Calendardaycode,Calendar day,City,Quality of air,Index value of air
159,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201219,2020-12-19,Jammu,Poor,215.18841185707831611140
160,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201219,2020-12-19,Pulwama,,
161,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201220,2020-12-20,Jammu,,
162,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201220,2020-12-20,Pulwama,,
163,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201221,2020-12-21,Jammu,Poor,213.23215356746851323766
164,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201221,2020-12-21,Pulwama,,
165,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201222,2020-12-22,Jammu,Poor,223.99157416032242904323
166,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201222,2020-12-22,Pulwama,,
167,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201223,2020-12-23,Jammu,Poor,197.58208725059009024774
168,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201223,2020-12-23,Pulwama,Moderate,122.26614310061267960875
169,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201224,2020-12-24,Jammu,Poor,209.31963698824890749018
170,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201224,2020-12-24,Pulwama,,
171,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201225,2020-12-25,Jammu,,
172,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201225,2020-12-25,Pulwama,,
173,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201226,2020-12-26,Jammu,Poor,223.99157416032242904323
174,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201226,2020-12-26,Pulwama,,
175,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201227,2020-12-27,Jammu,,
176,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201227,2020-12-27,Pulwama,,
177,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201228,2020-12-28,Jammu,Moderate,193.66957067137048450026
178,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201228,2020-12-28,Pulwama,Moderate,110.52859336295386236631
179,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201229,2020-12-29,Jammu,Moderate,194.64769981617538593713
180,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201229,2020-12-29,Pulwama,,
181,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201230,2020-12-30,Jammu,Moderate,171.17260034085775145225
182,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201230,2020-12-30,Pulwama,,
183,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201231,2020-12-31,Jammu,Moderate,187.80079580254107587904
