Rowid,Country,State lgd code,State,District lgd code,District,Block lgd code,Block,Yearcode,Year,Maintenance cost maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of habitations connected
77,India,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,2011,"Calendar Year (Jan - Dec), 2011",9.18021223709369,3.07034473083986,131.145889101338,0.59342031267573951187
78,India,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,2012,"Calendar Year (Jan - Dec), 2012",0,0,1.07325566142361,0.00954005032376545786
79,India,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,2017,"Calendar Year (Jan - Dec), 2017",0,2.20005980722614,387.752722389576,1.27659420026857329510
80,India,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,2018,"Calendar Year (Jan - Dec), 2018",186.52,20.32,1865.27,3
81,India,1,Jammu And Kashmir,2,Budgam,19,Nagam,2011,"Calendar Year (Jan - Dec), 2011",21.2183118778051,6.14536191665689,303.062638568236,1.15505236133941599099
82,India,1,Jammu And Kashmir,2,Budgam,19,Nagam,2016,"Calendar Year (Jan - Dec), 2016",3.6059809990952,0.578607165672982,49.135399780942,0.08338492309157578932
83,India,1,Jammu And Kashmir,2,Budgam,19,Nagam,2017,"Calendar Year (Jan - Dec), 2017",0,0.16591425999817,24.2126132345769,0.05337112899292855402
84,India,1,Jammu And Kashmir,2,Budgam,19,Nagam,2018,"Calendar Year (Jan - Dec), 2018",60.8705488097688,4.40616718262179,608.755540234616,0.71503052754339027235
85,India,1,Jammu And Kashmir,2,Budgam,20,Narbal,2011,"Calendar Year (Jan - Dec), 2011",9.88688615628719,3.06821722070277,141.178308872141,0.51818061615760941425
86,India,1,Jammu And Kashmir,2,Budgam,20,Narbal,2012,"Calendar Year (Jan - Dec), 2012",0,0,0.582241196322311,0.00517547730064276089
87,India,1,Jammu And Kashmir,2,Budgam,20,Narbal,2017,"Calendar Year (Jan - Dec), 2017",0,1.56851797035182,105.852080981276,0.44627547949439573132
88,India,1,Jammu And Kashmir,2,Budgam,20,Narbal,2018,"Calendar Year (Jan - Dec), 2018",28.7044388410795,4.07814672291473,287.071164939565,0.89255095898879146264
89,India,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,2011,"Calendar Year (Jan - Dec), 2011",7.11366377498161,2.28134306439701,101.642647581754,0.67021900660308437632
90,India,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,2012,"Calendar Year (Jan - Dec), 2012",0,0,8.66788103557246,0.07704783142731077906
91,India,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,2016,"Calendar Year (Jan - Dec), 2016",33.83,8.5,651.49,2
92,India,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,2017,"Calendar Year (Jan - Dec), 2017",0,2.7,189.18,1
93,India,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,2018,"Calendar Year (Jan - Dec), 2018",164.5,18.7,1645.15,4
94,India,1,Jammu And Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,2011,"Calendar Year (Jan - Dec), 2011",11.3,3,161.51,2
95,India,1,Jammu And Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,2016,"Calendar Year (Jan - Dec), 2016",6.55485406672282,1.66433731267444,121.65087901759,0.31819679935547661771
96,India,1,Jammu And Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,2017,"Calendar Year (Jan - Dec), 2017",0,1.45518622825505,177.854196156733,0.66156804250333169402
97,India,1,Jammu And Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,2018,"Calendar Year (Jan - Dec), 2018",27.7,2.8,277.06,1
98,India,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2011,"Calendar Year (Jan - Dec), 2011",5.46791782204477,2.53862773203818,78.1333337497729,0.59239264272196130532
99,India,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2012,"Calendar Year (Jan - Dec), 2012",0,0,6.08401803069511,0.05408016027284543926
100,India,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2016,"Calendar Year (Jan - Dec), 2016",2.02703336140916,0.412165769283177,37.6195087950587,0.09839967773830885854
101,India,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2017,"Calendar Year (Jan - Dec), 2017",0,0.946059984235842,109.86064846012,0.43711660171207130386
102,India,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2018,"Calendar Year (Jan - Dec), 2018",42.04,3.4,420.48,1
103,India,1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,2011,"Calendar Year (Jan - Dec), 2011",25.435306318453,4.08331009968579,363.294266294812,1.38461112239809393644
104,India,1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,2016,"Calendar Year (Jan - Dec), 2016",0,9,677.16,1
105,India,1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,2017,"Calendar Year (Jan - Dec), 2017",0,5.7,460.21,1
106,India,1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,2018,"Calendar Year (Jan - Dec), 2018",102.5,14.7,1025.18,2
107,India,1,Jammu And Kashmir,2,Budgam,6919,Charisharief,2011,"Calendar Year (Jan - Dec), 2011",8.45638180374194,5.29132798365732,120.783095136952,0.46033651626249007260
108,India,1,Jammu And Kashmir,2,Budgam,6919,Charisharief,2016,"Calendar Year (Jan - Dec), 2016",41.55,4,519.42,1
109,India,1,Jammu And Kashmir,2,Budgam,6919,Charisharief,2018,"Calendar Year (Jan - Dec), 2018",24.2594511902312,3.79383281737821,242.614459765384,0.28496947245660972765
110,India,1,Jammu And Kashmir,2,Budgam,6920,Surasyar,2011,"Calendar Year (Jan - Dec), 2011",7.65,2.42,109.28,1
111,India,1,Jammu And Kashmir,2,Budgam,6920,Surasyar,2016,"Calendar Year (Jan - Dec), 2016",119.64,11,1495.45,1
112,India,1,Jammu And Kashmir,2,Budgam,6920,Surasyar,2017,"Calendar Year (Jan - Dec), 2017",0,1.77589707923968,326.586807181175,0.71988539380638868568
113,India,1,Jammu And Kashmir,2,Budgam,6920,Surasyar,2018,"Calendar Year (Jan - Dec), 2018",105.33,9.5,1053.27,1
114,India,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,2011,"Calendar Year (Jan - Dec), 2011",18.5781399460722,5.3417391252123,265.4521299257,2.09681025258315881286
115,India,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,2012,"Calendar Year (Jan - Dec), 2012",0,0,39.8070524822018,0.35384046650846083213
116,India,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,2016,"Calendar Year (Jan - Dec), 2016",47.69,5.5,596.11,2
117,India,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,2017,"Calendar Year (Jan - Dec), 2017",0,2.05,190.93,1
118,India,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,2018,"Calendar Year (Jan - Dec), 2018",130.48,14.05,1304.32,2
119,India,1,Jammu And Kashmir,2,Budgam,6922,Rathsun,2011,"Calendar Year (Jan - Dec), 2011",13.3280257265354,3.90293495857681,190.429826996592,1.44948683550997150469
120,India,1,Jammu And Kashmir,2,Budgam,6922,Rathsun,2016,"Calendar Year (Jan - Dec), 2016",13.8301461163804,2.37689453290594,256.672294283517,0.67136631632914637271
121,India,1,Jammu And Kashmir,2,Budgam,6922,Rathsun,2017,"Calendar Year (Jan - Dec), 2017",0,1.24534685344115,117.676343376953,0.57594701925644023661
122,India,1,Jammu And Kashmir,2,Budgam,6922,Rathsun,2018,"Calendar Year (Jan - Dec), 2018",64.0756355423115,6.70550285472531,640.844619360701,2.07587567131577922129
123,India,1,Jammu And Kashmir,2,Budgam,6923,S K Pora,2011,"Calendar Year (Jan - Dec), 2011",13.37,4.5,190.69,2
124,India,1,Jammu And Kashmir,2,Budgam,6923,S K Pora,2016,"Calendar Year (Jan - Dec), 2016",2.07003332478852,0.318589972380976,38.4175408015039,0.10048705460138426046
125,India,1,Jammu And Kashmir,2,Budgam,6923,S K Pora,2017,"Calendar Year (Jan - Dec), 2017",0,1.21597288180608,107.494386498161,0.46514659740258758195
126,India,1,Jammu And Kashmir,2,Budgam,6923,S K Pora,2018,"Calendar Year (Jan - Dec), 2018",33.9640647766202,3.62631364820742,339.676595198793,1.06859056023424591957
127,India,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,2012,"Calendar Year (Jan - Dec), 2012",0.749352835946543,0.186880221004596,12.491444149216,0.13381300641902557087
128,India,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,2016,"Calendar Year (Jan - Dec), 2016",15.7221195758246,4.52341977548399,293.913357946783,0.79191334330882831305
129,India,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,2017,"Calendar Year (Jan - Dec), 2017",2.7056989897927,0.274090990806741,33.8078560717668,0.13381300641902557087
130,India,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,2018,"Calendar Year (Jan - Dec), 2018",38.5818650346272,5.24521083333963,385.860473506201,1.56836849734256724111
131,India,1,Jammu And Kashmir,3,Baramulla,23,Boniyar,2011,"Calendar Year (Jan - Dec), 2011",57.4336016415613,14.4759522718151,1562.65111551555,4.82905843398778156038
132,India,1,Jammu And Kashmir,3,Baramulla,23,Boniyar,2016,"Calendar Year (Jan - Dec), 2016",0,4.8,412.39,2
133,India,1,Jammu And Kashmir,3,Baramulla,23,Boniyar,2018,"Calendar Year (Jan - Dec), 2018",94.83,11.3,948.35,3
134,India,1,Jammu And Kashmir,3,Baramulla,26,Kunzer,2016,"Calendar Year (Jan - Dec), 2016",6.45617830262133,0.953467903422665,80.6939942901635,0.10083052167142486374
135,India,1,Jammu And Kashmir,3,Baramulla,26,Kunzer,2018,"Calendar Year (Jan - Dec), 2018",1.24978760869565,0.161296245558776,11.6426130434783,0.03941304347826086957
136,India,1,Jammu And Kashmir,3,Baramulla,27,Pattan,2011,"Calendar Year (Jan - Dec), 2011",2.8730580415766,0.855676401748378,129.155009192105,0.88401785894664538678
137,India,1,Jammu And Kashmir,3,Baramulla,27,Pattan,2016,"Calendar Year (Jan - Dec), 2016",23.6121170124649,4.0644629083048,445.668763409362,1.76803571789329077356
138,India,1,Jammu And Kashmir,3,Baramulla,27,Pattan,2018,"Calendar Year (Jan - Dec), 2018",25.2392020735588,3.52152592410577,250.573496505791,1.91423603136585845992
139,India,1,Jammu And Kashmir,3,Baramulla,29,Rohama,2016,"Calendar Year (Jan - Dec), 2016",2.83443757725587,0.87044460468069,52.9877070457355,0.14276885043263288010
140,India,1,Jammu And Kashmir,3,Baramulla,29,Rohama,2018,"Calendar Year (Jan - Dec), 2018",6.95567080045096,1.00933932663914,69.5642480270575,0.28275084554678692221
141,India,1,Jammu And Kashmir,3,Baramulla,30,Singhpora,2016,"Calendar Year (Jan - Dec), 2016",29.5374754047564,5.31169032849662,369.218442559455,0.67161153717044955716
142,India,1,Jammu And Kashmir,3,Baramulla,30,Singhpora,2018,"Calendar Year (Jan - Dec), 2018",49.32,5,493.11,2
143,India,1,Jammu And Kashmir,3,Baramulla,31,Sopore,2011,"Calendar Year (Jan - Dec), 2011",1.66872004100049,0.73067861532044,34.6444320728362,0.06013405553154927596
144,India,1,Jammu And Kashmir,3,Baramulla,31,Sopore,2016,"Calendar Year (Jan - Dec), 2016",0,0.803000943385018,69.9588219449267,0.09710029694776640109
145,India,1,Jammu And Kashmir,3,Baramulla,31,Sopore,2018,"Calendar Year (Jan - Dec), 2018",9.97511350544404,1.16435136790828,98.770422055268,0.19420059389553280218
146,India,1,Jammu And Kashmir,3,Baramulla,33,Tangmarag,2016,"Calendar Year (Jan - Dec), 2016",115.499000037077,10.2361636241483,1443.59018797968,1.80382633198620740796
147,India,1,Jammu And Kashmir,3,Baramulla,33,Tangmarag,2018,"Calendar Year (Jan - Dec), 2018",22.3583073913043,1.73163119133182,208.282686956522,0.70508695652173913043
148,India,1,Jammu And Kashmir,3,Baramulla,34,Uri,2011,"Calendar Year (Jan - Dec), 2011",64.8,35.97,1298.67,6
149,India,1,Jammu And Kashmir,3,Baramulla,34,Uri,2016,"Calendar Year (Jan - Dec), 2016",29,20.045,1846.5,6
150,India,1,Jammu And Kashmir,3,Baramulla,34,Uri,2018,"Calendar Year (Jan - Dec), 2018",150.68,20.17,1506.87,5
151,India,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,2012,"Calendar Year (Jan - Dec), 2012",4.58811954119752,1.25567623797754,76.4823141376407,0.81930706092812795959
152,India,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,2016,"Calendar Year (Jan - Dec), 2016",0,13.1484945610979,1054.92806836646,4.72938907533674507600
153,India,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,2017,"Calendar Year (Jan - Dec), 2017",16.5663887719667,1.84165848236706,206.997928943492,0.81930706092812795959
154,India,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,2018,"Calendar Year (Jan - Dec), 2018",153.770074814944,21.1000487694506,1503.34313271727,6.91101459842444800205
155,India,1,Jammu And Kashmir,3,Baramulla,36,Zaingeer,2011,"Calendar Year (Jan - Dec), 2011",15.5168096994302,8.36867078569389,322.145744289576,0.55916431349298067550
156,India,1,Jammu And Kashmir,3,Baramulla,36,Zaingeer,2016,"Calendar Year (Jan - Dec), 2016",0,9.19699905661498,650.521178055073,0.90289970305223359891
157,India,1,Jammu And Kashmir,3,Baramulla,36,Zaingeer,2018,"Calendar Year (Jan - Dec), 2018",92.754886494556,13.3356486320917,918.429577944732,1.80579940610446719782
158,India,1,Jammu And Kashmir,3,Baramulla,7006,Bijhama,2011,"Calendar Year (Jan - Dec), 2011",49.6063983584387,33.5540477281849,1349.68888448445,4.17094156601221843962
159,India,1,Jammu And Kashmir,3,Baramulla,7006,Bijhama,2016,"Calendar Year (Jan - Dec), 2016",0,19.2,1606.16,4
