srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Nelamangala,2019-20,24,1,25,53,954,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nidagundi,2019-20,12,0,12,40,616,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nippani,2019-20,30,0,30,51,838,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nyamati,2019-20,18,0,18,49,826,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pandavpura,2019-20,25,0,25,41,679,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pavagada,2019-20,34,1,35,37,611,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Piriyapatna,2019-20,34,1,35,63,852,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Puttur,2019-20,23,0,23,124,4058,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rabakavi Banahatti,2019-20,15,0,15,38,496,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raibag,2019-20,38,1,39,38,483,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raichur,2019-20,37,0,37,42,736,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramadurg,2019-20,52,0,52,38,540,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramanagar,2019-20,24,0,24,51,921,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ranebennur,2019-20,35,3,38,46,623,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ratteehalli,2019-20,12,0,12,66,790,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rona,2019-20,25,0,25,44,699,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sagara,2019-20,34,2,36,98,2495,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sakleshpura,2019-20,25,0,25,104,2247,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Saraguru,2019-20,14,0,14,59,949,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savadatti,2019-20,45,2,47,40,568,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savanur,2019-20,20,1,21,54,699,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sedam,2019-20,29,0,29,51,791,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahapur,2019-20,25,0,25,43,848,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahbadha,2019-20,5,0,5,47,758,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shidlagatta,2019-20,29,0,29,47,763,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shiggaon,2019-20,28,2,30,63,814,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shikaripura,2019-20,42,3,45,72,975,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shimoga,2019-20,39,3,42,67,842,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shirahatti,2019-20,16,0,16,47,689,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shorapur,2019-20,26,1,27,42,721,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siddapur,2019-20,25,0,25,101,3016,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindagi,2019-20,29,1,30,39,658,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindhanur,2019-20,34,1,35,39,691,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sira,2019-20,47,1,48,38,638,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siraguppa,2019-20,27,2,29,42,675,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sirivara,2019-20,16,0,16,39,589,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sirsi,2019-20,34,0,34,98,2360,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Somawarpet,2019-20,42,0,42,105,2098,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sonduru,2019-20,27,1,28,53,819,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Soraba,2019-20,34,7,41,83,1541,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sringeri,2019-20,10,0,10,116,3887,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srinivaspura,2019-20,26,0,26,45,758,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srirangapatna,2019-20,22,0,22,49,638,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sulya,2019-20,25,0,25,129,3592,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Talikote,2019-20,18,0,18,40,586,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tarikere,2019-20,23,6,29,68,914,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Thirthahalli,2019-20,37,3,40,103,2867,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tikota,2019-20,16,0,16,40,406,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
