srcStateName,srcSubDistrictName,Year,srcDistrictName,StateCode,StateName,DistrictCode,DistrictName,SubDistrictCode,SubDistrictName,IntermediateRatio
Karnataka,T.Narasipura,2019,MYSURU,29,KARNATAKA,545,MYSURU,5575,TIRUMAKUDAL - NARSIPUR,1
Karnataka,Devdurga,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,5460,DEVADURGA,1
Karnataka,Lingasugur,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,5459,LINGSUGUR,1
Karnataka,Manvi,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,5462,MANVI,1
Karnataka,Maski,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,7101,MASKI,1
Karnataka,Raichur,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,5461,RAICHUR,1
Karnataka,Sindhanur,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,5463,SINDHNUR,1
Karnataka,Sirivara,2019,RAICHUR,29,KARNATAKA,546,RAICHUR,7097,SIRWAR,1
Karnataka,Channapatna,2019,RAMANAGARA,29,KARNATAKA,631,RAMANAGARA,5607,CHANNAPATNA,1
Karnataka,Magadi,2019,RAMANAGARA,29,KARNATAKA,631,RAMANAGARA,5605,MAGADI,1
Karnataka,Ramanagar,2019,RAMANAGARA,29,KARNATAKA,631,RAMANAGARA,5606,RAMANAGARA,1
Karnataka,Bhadravathi,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5521,BHADRAVATI,1
Karnataka,Hosanagar,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5518,HOSANAGARA,1
Karnataka,Sagara,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5515,SAGAR,1
Karnataka,Shikaripura,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5517,SHIKARPUR,1
Karnataka,Shimoga,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5520,SHIVAMOGGA,1
Karnataka,Soraba,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5516,SORAB,1
Karnataka,Thirthahalli,2019,SHIVAMOGGA,29,KARNATAKA,547,SHIVAMOGGA,5519,TIRTHAHALLI,1
Karnataka,Chiknayakanahalli,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5532,CHIKNAYAKANHALLI,1
Karnataka,Gubbi,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5538,GUBBI,1
Karnataka,Koratagere,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5536,KORATAGERE,1
Karnataka,Madhugiri,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5535,MADHUGIRI,1
Karnataka,Pavagada,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5534,PAVAGADA,1
Karnataka,Sira,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5533,SIRA,1
Karnataka,Tiptur,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5539,TIPTUR,1
Karnataka,Tumkur,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5537,TUMAKURU,1
Karnataka,Turuvekere,2019,TUMAKURU,29,KARNATAKA,548,TUMAKURU,5540,TURUVEKERE,1
Karnataka,Bynduru,2019,UDUPI,29,KARNATAKA,549,UDUPI,7066,BAINDURU,1
Karnataka,Bramhavara,2019,UDUPI,29,KARNATAKA,549,UDUPI,7068,BRAHMAVARA,1
Karnataka,Hebri,2019,UDUPI,29,KARNATAKA,549,UDUPI,7065,HEBRI,1
Karnataka,Kapu,2019,UDUPI,29,KARNATAKA,549,UDUPI,7067,KAPU,1
Karnataka,Karkala,2019,UDUPI,29,KARNATAKA,549,UDUPI,5524,KARKAL,1
Karnataka,Kundapur,2019,UDUPI,29,KARNATAKA,549,UDUPI,5522,KUNDAPURA,1
Karnataka,Udupi,2019,UDUPI,29,KARNATAKA,549,UDUPI,5523,UDUPI,1
Karnataka,Ankola,2019,UTTARA KANNADA,29,KARNATAKA,550,UTTARA KANNADA,5484,ANKOLA,1
Karnataka,Bhatkal,2019,UTTARA KANNADA,29,KARNATAKA,550,UTTARA KANNADA,5488,BHATKAL,1
Karnataka,Dandelli,2019,UTTARA KANNADA,29,KARNATAKA,550,UTTARA KANNADA,7064,DANDELI,1
Karnataka,Haliyal,2019,UTTARA KANNADA,29,KARNATAKA,550,UTTARA KANNADA,5480,HALIYAL,1
