ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,YearCode,Year
37,India,29,Karnataka,550,Uttara Kannada,5479,Supa,2019-20,16,0,16,94,2578,2019,"Financial Year (Apr - Mar), 2019"
64,India,29,Karnataka,550,Uttara Kannada,5480,Haliyal,2019-20,22,0,22,82,1339,2019,"Financial Year (Apr - Mar), 2019"
27,India,29,Karnataka,550,Uttara Kannada,5481,Yellapur,2019-20,14,0,14,98,2668,2019,"Financial Year (Apr - Mar), 2019"
41,India,29,Karnataka,550,Uttara Kannada,5482,Mundgod,2019-20,17,0,17,85,1438,2019,"Financial Year (Apr - Mar), 2019"
113,India,29,Karnataka,550,Uttara Kannada,5483,Sirsi,2019-20,34,0,34,98,2360,2019,"Financial Year (Apr - Mar), 2019"
69,India,29,Karnataka,550,Uttara Kannada,5484,Ankola,2019-20,23,0,23,107,3532,2019,"Financial Year (Apr - Mar), 2019"
70,India,29,Karnataka,550,Uttara Kannada,5485,Kumta,2019-20,23,0,23,110,3523,2019,"Financial Year (Apr - Mar), 2019"
80,India,29,Karnataka,550,Uttara Kannada,5486,Siddapur,2019-20,25,0,25,101,3016,2019,"Financial Year (Apr - Mar), 2019"
102,India,29,Karnataka,550,Uttara Kannada,5487,Honavar,2019-20,29,0,29,110,3728,2019,"Financial Year (Apr - Mar), 2019"
42,India,29,Karnataka,550,Uttara Kannada,5488,Bhatkal,2019-20,17,0,17,113,4322,2019,"Financial Year (Apr - Mar), 2019"
2,India,29,Karnataka,550,Uttara Kannada,7064,Dandeli,2019-20,4,0,4,82,1540,2019,"Financial Year (Apr - Mar), 2019"
121,India,29,Karnataka,630,Chikkaballapura,5595,Gauribidanur,2019-20,39,0,39,43,704,2019,"Financial Year (Apr - Mar), 2019"
79,India,29,Karnataka,630,Chikkaballapura,5596,Chikkaballapura,2019-20,25,0,25,53,828,2019,"Financial Year (Apr - Mar), 2019"
7,India,29,Karnataka,630,Chikkaballapura,5597,Gudibanda,2019-20,9,0,9,42,694,2019,"Financial Year (Apr - Mar), 2019"
84,India,29,Karnataka,630,Chikkaballapura,5598,Bagepalli,2019-20,26,0,26,43,695,2019,"Financial Year (Apr - Mar), 2019"
98,India,29,Karnataka,630,Chikkaballapura,5599,Sidlaghatta,2019-20,29,0,29,47,763,2019,"Financial Year (Apr - Mar), 2019"
116,India,29,Karnataka,630,Chikkaballapura,5600,Chintamani,2019-20,36,0,36,45,787,2019,"Financial Year (Apr - Mar), 2019"
167,India,29,Karnataka,631,Ramanagara,5605,Magadi,2019-20,34,1,35,56,1000,2019,"Financial Year (Apr - Mar), 2019"
74,India,29,Karnataka,631,Ramanagara,5606,Ramanagara,2019-20,24,0,24,51,921,2019,"Financial Year (Apr - Mar), 2019"
163,India,29,Karnataka,631,Ramanagara,5607,Channapatna,2019-20,32,1,33,50,861,2019,"Financial Year (Apr - Mar), 2019"
222,India,29,Karnataka,631,Ramanagara,5608,Kanakapura,2019-20,39,5,44,48,797,2019,"Financial Year (Apr - Mar), 2019"
148,India,29,Karnataka,635,Yadgir,5587,Shorapur,2019-20,26,1,27,42,721,2019,"Financial Year (Apr - Mar), 2019"
76,India,29,Karnataka,635,Yadgir,5588,Shahpur,2019-20,25,0,25,43,848,2019,"Financial Year (Apr - Mar), 2019"
152,India,29,Karnataka,635,Yadgir,5589,Yadgir,2019-20,27,1,28,49,908,2019,"Financial Year (Apr - Mar), 2019"
45,India,29,Karnataka,635,Yadgir,7094,Gurumitkal,2019-20,18,0,18,49,773,2019,"Financial Year (Apr - Mar), 2019"
50,India,29,Karnataka,635,Yadgir,7095,Wadagera,2019-20,19,0,19,43,617,2019,"Financial Year (Apr - Mar), 2019"
56,India,29,Karnataka,635,Yadgir,7096,Hunasagi,2019-20,21,0,21,42,501,2019,"Financial Year (Apr - Mar), 2019"
