srcYear,srcMonth,Name of the fertilizer used,srcStateName,Required fertilizer quantity,Available fertilizer quantity,YearCode,Year,MonthCode,Month
2012-13,Apr-2012,Triple superphosphate,Sikkim,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Himachal Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Maharastra,149000.00,177872.60,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Jharkhand,16250.00,5473.10,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Mizoram,30.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Arunachal Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Mizoram,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Uttaranchal,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Tamil Nadu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Tamil Nadu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Tripura,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Chandigarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Daman & Diu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Bihar,20000.00,38128.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Rajasthan,2500.00,5880.15,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Mizoram,70.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Mizoram,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Andhra Pradesh,350000.00,82421.81,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Bihar,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Karnataka,125000.00,165740.26,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",West Bengal,132720.00,72672.23,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Karnataka,0.00,11905.40,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Dadra & Nagar Haveli,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Delhi,60.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Goa,500.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Assam,41000.00,7953.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Nagaland,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Jharkhand,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Punjab,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Chattishgarh,10000.00,15063.65,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Gujarat,13000.00,5286.70,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Uttaranchal,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Goa,400.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Jammu & Kashmir,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Dadra & Nagar Haveli,0.00,30.95,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Bihar,25000.00,61813.70,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Mizoram,20.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Manipur,820.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Uttaranchal,500.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Bihar,10000.00,17026.15,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Manipur,2200.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Kerala,20000.00,7398.06,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Assam,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Madhya Pradesh,137510.00,41638.55,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Lakshadeeep,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Maharastra,100000.00,74208.09,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
