ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
2133,India,19,West Bengal,1941,"NEAR FLY ASH DUMPING SITE-KUNTIGHAT, BANDEL",27,27,8,8.1,395,407,0.2,0.2,0.1,0.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2134,India,19,West Bengal,2515,"SDO OFFICE, RANAGHAT",27,28,7.7,8.5,587,695,0.1,0.2,0.1,0.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2135,India,21,Odisha,1656,"NEAR JAGANNATH TEMPLE, PURI",27,28,7.8,8.1,701,808,0.3,0.4,0.27,0.96,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
2136,India,21,Odisha,3969,"NEAR RAILWAY STATION, SAMBALPUR",27,28,7.5,8.1,1164,1268,0.2,0.4,5.8,7.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2137,India,9,Uttar Pradesh,1739,"SITE 2, INDUSTRIAL AREA NEAR  M/S AMIN SONS, UNNAO, U.P",27,27,7.3,7.4,1214,1521,0.4,0.4,0.65,0.65,2,2,2,93,2019,2019,"Calendar Year (Jan - Dec), 2019"
2138,India,16,Tripura,3427,"TUBE WELL AT SHANTIR BAZAR, SOUTH TRIPURA",27,27,6.4,6.4,109,122,0,0.5,0.2,0.2,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2139,India,21,Odisha,1652,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR",27,27,5.8,6.8,276,624,0.4,0.5,3.5,4.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2140,India,19,West Bengal,1813,"RISHRA, WEST BENGAL",27,29,7.9,7.9,372,754,0.2,0.5,0.1,0.2,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2141,India,19,West Bengal,1941,"NEAR FLY ASH DUMPING SITE- KUNTIGHAT, BANDEL",27,28,7.6,7.8,405,494,0.3,0.5,0.5,0.73,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
2142,India,19,West Bengal,1772,"BARSAT MUNICIPALITY NORTH 24-P, WEST BENGAL",27,29,7,7.8,1176,1216,0.2,0.5,0.2,2.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
