ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
2868,India,32,Kerala,2323,BRAHMAPURAM M.S.W. DUMPARK  (ERNAKULAM),28,28,6.1,6.3,279,370,0.8,1.6,1.11,1,110,300,600,1300,2013,2013,"Calendar Year (Jan - Dec), 2013"
2869,India,32,Kerala,2309,KAROOR (PALA),28,29,6.1,6.7,102,169,0.4,0.5,2.71,5,300,310,500,600,2013,2013,"Calendar Year (Jan - Dec), 2013"
2913,India,21,Odisha,1655,"NEAR SEA BEACH, PURI,  ODISHA",28,28,8,8.4,1176,1340,0.1,0.4,2.2,10.4,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2870,India,36,Telangana,1791,"B/W. - EAST OF SAICHERUVU  ,PAIDIPALLY (V),WARANGAL DIST.",28,29,6.76,7.43,2610,4525,0.7,0.7,0.01,0.019,350,350,1600,1600,2012,2012,"Calendar Year (Jan - Dec), 2012"
2871,India,32,Kerala,1592,"PAYYANNUR, KANNUR DISTT. , KERALA",28,29,5.6,6.7,272,340,0.4,1.3,1.87,5.86,0,350,2,550,2017,2017,"Calendar Year (Jan - Dec), 2017"
2872,India,32,Kerala,2313,"SARVODAPURAM, ALAPPUZHA",28,28,7.7,7.8,243,254,0.7,1.5,0,0.1,210,430,310,700,2014,2014,"Calendar Year (Jan - Dec), 2014"
2873,India,24,Gujarat,1963,ANKLESHWAR (INDUSTRIAL  AREA),28,29,7.5,8.1,270,305,0.8,18,3.144,3,23,460,210,430,2013,2013,"Calendar Year (Jan - Dec), 2013"
2874,India,8,Rajasthan,2976,"SUJAN GANGA, BHARATPUR, RAJASTHAN",28,31,8,8.4,7100,7900,25,25.5,13.1,15.35,150,460,1100,1100,2017,2017,"Calendar Year (Jan - Dec), 2017"
2875,India,32,Kerala,2320,MANJERI,28,29,6.5,6.7,144,190,0.4,0.6,2.6,5,140,500,270,700,2013,2013,"Calendar Year (Jan - Dec), 2013"
2876,India,34,Puducherry,1687,WELL AT NEHRU STATUE  MISSION ST. - CHETTY KOIL,28,29,7.5,8.4,2220,2220,,1.6,0.17,0.99,500,500,240,240,2019,2019,"Calendar Year (Jan - Dec), 2019"
2877,India,31,Lakshadweep,1603,"WELL C/O OLD POLICE  BARRACKS, LAKSHDWEEP",28,39,7,8.2,1018,3140,,,,,500,500,12000,244000,2013,2013,"Calendar Year (Jan - Dec), 2013"
2878,India,32,Kerala,1587,"WELL AT KALAMASSERY  ERNAKULAM DISTT. , KERALA",28,30,6.2,7,268,340,0.2,0.2,0.02,0.03,540,540,100,240,2019,2019,"Calendar Year (Jan - Dec), 2019"
2879,India,32,Kerala,2313,"SARVODAPURAM, ALAPPUZHA",28,28,7.8,7.9,225,225,0.3,0.8,0,0,400,540,600,800,2013,2013,"Calendar Year (Jan - Dec), 2013"
2880,India,19,West Bengal,1933,"NEAR GALVANISATION UNIT,  HOWRAH",28,30,7.3,8,260,1486,0.3,1.1,0,0.7,500,540,920,1600,2014,2014,"Calendar Year (Jan - Dec), 2014"
2881,India,38,The Dadra And Nagar Haveli And Daman And Diu,2455,"VILLAGE MASAT, DADRA",28,29.8,6.7,7.5,1483,2196,12,12,0.3,1,0,540,28,920,2016,2016,"Calendar Year (Jan - Dec), 2016"
2882,India,38,The Dadra And Nagar Haveli And Daman And Diu,2458,"VILLAGE, DADRA",28,30.2,7.2,7.6,1880,2220,20,20,0.6,2.7,6,900,10,542,2016,2016,"Calendar Year (Jan - Dec), 2016"
2883,India,21,Odisha,3977,TALCHER THERMAL AREA,28,28,7.3,7.9,922,1404,0.5,0.6,0.2,0.34,2,920,2,130,2019,2019,"Calendar Year (Jan - Dec), 2019"
2884,India,32,Kerala,1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",28,30.1,7.1,7.4,315,560,2.3,2.4,0.35,5.9,700,1000,2800,4900,2017,2017,"Calendar Year (Jan - Dec), 2017"
2885,India,31,Lakshadweep,1605,"WELL NEAR HALIPAD,  LAKSHDWEEP",28,31,7.2,8,946,1253,,,,,500,1000,1680,119000,2013,2013,"Calendar Year (Jan - Dec), 2013"
2886,India,32,Kerala,1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",28,30,6.9,7,250,420,2,2.4,4.4,10.1,200,1100,1200,2000,2018,2018,"Calendar Year (Jan - Dec), 2018"
2887,India,32,Kerala,1591,KANNUR (MUNICIPALITY) KANNUR DISTTM,28,29,4.7,4.9,104,111,0.5,0.9,4.5,7.9,180,1200,480,1400,2016,2016,"Calendar Year (Jan - Dec), 2016"
2888,India,32,Kerala,1592,"PAYYANNUR, KANNUR DISTT. , KERALA",28,28,6.8,7.9,200,320,0.5,0.5,1.1,4,120,1300,150,1500,2018,2018,"Calendar Year (Jan - Dec), 2018"
2889,India,38,The Dadra And Nagar Haveli And Daman And Diu,2448,"VILLAGE BHIMPORE, DAMAN",28,29.2,6.4,7.6,610,660,4.9,9.5,1.8,6.9,542,1600,1600,1600,2016,2016,"Calendar Year (Jan - Dec), 2016"
2890,India,38,The Dadra And Nagar Haveli And Daman And Diu,2451,"VILLAGE DABHEL, DAMAN",28,29,6.7,7.3,570,1138,,,1.4,3.3,26,1600,540,1600,2016,2016,"Calendar Year (Jan - Dec), 2016"
2891,India,38,The Dadra And Nagar Haveli And Daman And Diu,2452,"VILLAGE KACHIGAM, DAMAN",28,29,6.8,7.6,832,1250,,,0.8,6.8,2,1600,6,1600,2016,2016,"Calendar Year (Jan - Dec), 2016"
2892,India,27,Maharashtra,2818,"BORE WELL AT M/S SPECTRON  ETHERS SIDDESHWAR MAHADEV  MANDIR, RASEGAON, DINDORI,  NASHIK",28,28,8.1,8.1,645,645,7.5,7.5,1.4,1.4,1800,1800,550,550,2019,2019,"Calendar Year (Jan - Dec), 2019"
2893,India,32,Kerala,1585,"WELL AT VYTTILA, ERNAKULAM  DISTT. , KERALA",28,29,7.5,7.7,277,520,0.2,1.4,0.06,0.8,240,2300,100,1200,2019,2019,"Calendar Year (Jan - Dec), 2019"
2894,India,32,Kerala,2308,WELL AT FATHIMAPURAM  (CHANGANASSERY),28,30,7,7.3,197,247,0.6,1,0.03,0.81,540,4100,280,2000,2019,2019,"Calendar Year (Jan - Dec), 2019"
2895,India,31,Lakshadweep,1606,"PUBLIC WELL OPPOSITE  S.B.SCHOOL, LAKSHDWEEP",28,31.5,6.6,8,638,1165,,,0,0,1000,5000,11300,240000,2014,2014,"Calendar Year (Jan - Dec), 2014"
2896,India,32,Kerala,1586,"WELL AT EDAYAR ERNAKULAM  DISTT., KERALA",28,28,6.2,6.5,244,352,0.2,1.1,0.03,0.05,700,7900,270,6300,2019,2019,"Calendar Year (Jan - Dec), 2019"
2897,India,31,Lakshadweep,1594,"WELL NEAR OTTAVATHIL PALLI,  LAKSHDWEEP",28,31,7,8,1183,1611,,,,,2000,9000,5000,329000,2013,2013,"Calendar Year (Jan - Dec), 2013"
2898,India,31,Lakshadweep,1595,"WELL NEAR CHEKKILLAM HOUSE,  LAKSHDWEEP",28,31,7.2,8,652,932,,,,,500,92000,13000,120000,2013,2013,"Calendar Year (Jan - Dec), 2013"
2899,India,24,Gujarat,1948,BHAVNAGAR,28,28,7.3,7.3,72683,72683,,,1.812,2,221000,221000,750,750,2013,2013,"Calendar Year (Jan - Dec), 2013"
2900,India,34,Puducherry,2447,WELL AT PANTHAKKAL,28,28,7,7,120,120,0,0,2.2,2.2,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2901,India,34,Puducherry,2447,WELL AT PANTHAKKAL,28,28,6.2,6.2,142,142,0,0,2.2,2.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2902,India,34,Puducherry,2446,WELL AT PALLUR,28,28,7,7,195,195,0,0,7.15,7.15,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2903,India,34,Puducherry,2446,WELL AT PALLUR,28,28,6.2,6.2,328,328,0,0,11.5,11.5,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2904,India,19,West Bengal,4721,GROUND WATER AT MATIGARA  BAZAAR,28,28,7.7,7.7,91,91,0.2,0.2,0.5,0.5,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2905,India,23,Madhya Pradesh,3345,"TUBEWELL AT INDL AREA, ANUPPUR",28,30,7,8,526,683,0.1,0.2,0.8,1.2,,,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2906,India,19,West Bengal,1771,"KALYANI INDUSTRIAL AREA,  NADIA, WEST BENGAL",28,28,7.1,7.6,531,740,0.2,0.3,0.18,0.18,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2907,India,19,West Bengal,1939,BARRAKPORE MUNICIPALITY,28,28,7.5,7.8,365,387,0.3,0.4,0.15,0.19,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2908,India,19,West Bengal,2535,VISVA BHARATI,28,29,6.9,7.9,499,530,0.2,0.4,0.224,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2909,India,19,West Bengal,2529,GROUND WATER POINT NEAR  BURDWAN STATION,28,30,7,7.2,557,627,0.3,0.4,0.832,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2910,India,19,West Bengal,1932,CENTRAL KOLKATA,28,31,7.6,7.9,894,957,0.2,0.4,0.14,0.33,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2911,India,19,West Bengal,1772,"BARSAT MUNICIPALITY NORTH  24-P, WEST BENGAL",28,28,7,7.4,922,1061,0.4,0.4,0.14,0.14,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2912,India,24,Gujarat,1953,JAMNAGAR,28,28,7.3,7.4,1010,1010,0.4,0.4,0.4,0.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2914,India,24,Gujarat,3246,"BOREWELL OF GIDC OFFICE, SHANKAR  TEKRI, UDHYOGNAGA",28,28,7.6,7.7,1420,2458,0.4,0.4,0.4,0.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2915,India,24,Gujarat,3247,"BOREWELL OF SHRI MAHAVIR METAL  CRAFT PVT. LTD., PL",28,29,7.5,7.9,1855,3628,0.4,0.4,0.4,0.5,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2916,India,9,Uttar Pradesh,1741,"MAGAWARA INDUSTRIAL AREA  NEAR M/S JAMJAM TANNERS, UNNAO, U.P",28,28,7.3,7.3,1074,1074,0.5,0.5,25,25.2,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2917,India,19,West Bengal,1934,CENTRAL HOWRAH-RESIDENTAIL  AREA,28,29,7.3,7.6,2634,2992,0.1,0.5,0.07,0.86,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2918,India,19,West Bengal,4737,GROUND WATER AT SHYAMPUR  BUDGE BUDGE,28,28,7.7,7.7,7439,7439,0.5,0.5,0.93,0.93,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2919,India,18,Assam,2258,GROUND WATER FROM GOALPARA  DIST. (GOALPARA COLLEGE ),28,28,6.1,6.1,362,362,0.6,0.6,0.1,0.1,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2920,India,19,West Bengal,4732,GROUNDWATER AT ANANDA  MOHAN COMMERCE COLLEGE,28,28,7.9,7.9,611,611,0.6,0.6,0.88,0.88,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2921,India,19,West Bengal,4708,GROUND WATER AT  BERHAMPORE,28,28,7.6,7.6,776,776,0.6,0.6,0.28,0.28,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2922,India,9,Uttar Pradesh,1738,"SITE 1, INDUSTRIAL AREA  NEAR M/S WOODWARM CHEMICAL LTD., UNNAO, U.P",28,28,7.4,7.4,835,835,0.6,0.6,3,3.2,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2923,India,19,West Bengal,2510,GEOKHALI BUNGLOW  MIDNAPUR-EAST,28,28,8.02,8.53,1008,1012,0.45,0.6,0,0,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2924,India,19,West Bengal,1779,DANKUNI (NEAR COAL COMPLEX),28,28,7.1,7.4,1130,1152,0.4,0.6,0.2,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2925,India,19,West Bengal,1938,BSIRHAT MUNICIPALITY,28,31,8.1,8.3,2090,2190,0.5,0.6,0,0.07,,,0,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
2926,India,19,West Bengal,1771,"KALYANI INDUSTRIAL AREA,  NADIA, WEST BENGAL",28,29,7,7.2,689,729,0.6,0.7,0.15,0.4,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2927,India,19,West Bengal,4706,GROUND WATER AT KHARDAH,28,28,7.3,7.3,866,866,0.7,0.7,0.32,0.32,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2928,India,8,Rajasthan,3002,"BORE WELL M/S R.C. PALACE  HOTEL, BHIWADI, RAJASTHAN",28,28,7.8,7.8,870,870,0.7,0.7,1.8,1.8,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2929,India,8,Rajasthan,2027,"NEAR ABN CENTRAL  ACADEMY, SUSILPURA,  SODALA, JAIPUR.",28,28,7.8,7.8,1630,1630,0.7,0.7,3.2,3.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2930,India,9,Uttar Pradesh,1739,"SITE 2, INDUSTRIAL AREA  NEAR M/S AMIN SONS, UNNAO, U.P",28,28,6.8,6.8,4810,4810,0.7,0.7,25,25.2,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2931,India,19,West Bengal,2515,"SDO OFFICE, RANAGHAT",28,30,7.4,7.9,485,533,0.1,0.8,0.3,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2932,India,18,Assam,2250,GROUND WATER FROM NAGAON  (PANIGAON),28,29,6.4,6.8,519,839,0.8,0.8,0.1,0.15,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2933,India,8,Rajasthan,1706,"RIICO PUMP HOUSE NEAR MONTO  MOTORS, MIA, ALWAR, RAJASTHAN",28,28,8,8,940,940,0.8,0.8,1,1,,,7,7,2014,2014,"Calendar Year (Jan - Dec), 2014"
2934,India,8,Rajasthan,1710,"WELL AT VILLAGE ALUPUR, VERY  NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",28,28,7.5,7.5,1670,1670,0.8,0.8,2.4,2.4,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2935,India,8,Rajasthan,2971,"RIICO TUBE WELL, RIA,  SOTANALA, RAJASTHAN",28,28,7.5,7.5,2000,2000,0.8,0.8,1.4,1.4,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2936,India,8,Rajasthan,2972,"RIICO TUBE WELL, RIA,  NEEMRANA, RAJASTHAN",28,28,7.6,7.6,2500,2500,0.8,0.8,1.1,1.1,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2937,India,9,Uttar Pradesh,1740,"AT ROADWAYS BUS STATION,  UNNAO, U.P",28,28,6.9,6.9,2545,2545,0.8,0.8,25,25.4,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2938,India,24,Gujarat,2094,WELL AT ANKLESHWAR INDUSTRIAL  AREA (BORE WELL OF M,28,28,7.8,7.8,4830,4830,0.8,0.8,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2939,India,19,West Bengal,2543,SDO OFFICE AT BISHNUPUR  TOWN,28,29,5.9,6.6,119,123,0.3,0.9,3.652,4,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2940,India,19,West Bengal,1944,KHARAGPUR INDUSTRIAL AREA,28,30,6.06,7.15,123.3,123.3,0.75,0.9,0.12,0.13,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2941,India,18,Assam,2251,GROUND WATER FROM JAGIROAD  NEAR HPC EFFLUENT DISCHARGE POINT,28,30,6.8,7.2,309,331,0.9,0.9,0.42,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2942,India,19,West Bengal,2538,MOREGRAM CROSSING,28,29,8.1,8.3,317,392,0.9,0.9,0.2,0.84,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2943,India,19,West Bengal,2537,BOLPUR NEAR RAILWAY STATION,28,30,7,8,358,801,0.3,0.9,2.2,2.6,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2944,India,19,West Bengal,2529,GROUND WATER POINT NEAR  BURDWAN STATION,28,29,6.8,7.5,663,714,0.4,0.9,0.7,0.7,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2945,India,19,West Bengal,2528,GROUND WATER POINT INSIDE  BURDWAN UNIVERSITY,28,29,7.1,7.4,741,757,0.6,0.9,0.382,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2946,India,19,West Bengal,1777,BEHALA CALCUTTA,28,29,7.7,8.1,830,849,0.7,0.9,0.2,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2947,India,8,Rajasthan,2970,"RIICO TUBE WELL, RIA, BEHROR,  RAJASTHAN",28,28,7.5,7.5,1740,1740,0.9,0.9,2.3,2.3,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2948,India,8,Rajasthan,3004,"BORE WELL OF M/S MODERN  PUBLIC SCHOOL, BHIWADI, RAJASTHAN",28,28,7.6,7.6,2500,2500,0.9,0.9,0.8,0.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2949,India,8,Rajasthan,2975,"VILLAGE BAGER MEO, TEHSIL-  RAMGARH, ALWAR, RAJASTHAN",28,28,7.5,7.5,4200,4200,0.9,0.9,2.2,2.2,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2950,India,19,West Bengal,2546,ULUBERIA COLLEGE AT HOWRAH,28,30,7.3,8,921,964,0.8,1,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2951,India,28,Andhra Pradesh,1519,"BORE WELL - NAGIRI, CHITTOOR DIST",28,31,7.7,8.2,1122,1406,0.5,1,1.8,1.9,,,16,16,2016,2016,"Calendar Year (Jan - Dec), 2016"
2952,India,8,Rajasthan,1708,"WELL KOTHI IN VILLAGE BAGAR  RAJPUT, ALWAR, RAJASTHAN",28,28,7.7,7.7,1400,1400,1.1,1.1,0.8,0.8,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2953,India,24,Gujarat,2085,BORE WELL OF SANTEJ VILLAGE.,28,31,7.4,7.4,1556,1971,0.8,1.1,0.27,0.45,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2954,India,23,Madhya Pradesh,3340,B.W.Water at.Kalindi Vihar Trenching ground,28,28,7.5,7.5,1660,1660,1.1,1.1,7.3,7.3,,,94,94,2014,2014,"Calendar Year (Jan - Dec), 2014"
2955,India,23,Madhya Pradesh,2143,"KATHODA, JABALPUR",28,28,7.3,7.3,475,475,1.2,1.2,0.2,0.2,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
2956,India,28,Andhra Pradesh,1520,"BORE WELL. - SWARNAMUKHI RIVER,  SRIKALAHASTI, CHITTOOR DIST",28,30,7.8,8.3,659,744,0.7,1.2,1.1,1.1,,,16,16,2016,2016,"Calendar Year (Jan - Dec), 2016"
2957,India,19,West Bengal,2533,SURI TOWN NEAR BUS STAND,28,30,7.5,8.2,963,970,0.5,1.2,0.712,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2958,India,19,West Bengal,1935,INSIDE KOLKATA LEATHER  COMPLEX,28,34,7.3,7.3,1478,1479,0.3,1.2,0.03,0.9,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2959,India,24,Gujarat,1957,GROUND WATER AT SIDDHPUR  (DIST.PATAN),28,29,7.8,7.8,1751,1858,0.7,1.2,2.71,3.7,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2960,India,24,Gujarat,2089,"B/W NEAR INDL. AREA BORASARA &  NAVAPURA, DIST. SUR",28,29,7.5,8.4,2835,3240,1,1.2,0,0,,,4,4,2016,2016,"Calendar Year (Jan - Dec), 2016"
2961,India,19,West Bengal,2529,GROUND WATER POINT NEAR  BURDWAN STATION,28,28,6.58,6.6,458,459,1.15,1.25,0.35,0.56,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2962,India,19,West Bengal,1934,CENTRAL HOWRAH-RESIDENTAIL  AREA,28,31,7.1,7.5,2,2398,0.5,1.3,0.3,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2963,India,30,Goa,2277,WELL AT VERNA  INDI.ESTATE.(M/S CIPLA LIMITED),28,32,6.2,6.22,242.4,387,1,1.3,0.11,0.28,,,10,28,2012,2012,"Calendar Year (Jan - Dec), 2012"
2964,India,8,Rajasthan,2957,"WELL/ HAND PUMPS IN THE RIICO  INDUSTRIAL AREA, BANSWARA, RAJASTHAN",28,28,7.8,7.8,890,890,1.3,1.3,1,1,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2965,India,21,Odisha,1647,"BADAMBARI AREA, CUTTACK,  ODISHA",28,28,6.9,7.4,661,804,0.3,1.4,0.4,0.8,,,2,2,2014,2014,"Calendar Year (Jan - Dec), 2014"
2966,India,24,Gujarat,1969,"SARIGAM VILLAGE (D/S OF  INDUSTRIALAREA), VAPI",28,28,8.1,8.5,824,990,0.6,1.4,0.2,0.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2967,India,19,West Bengal,1776,GARIA CALCUTTA,28,31,7.2,7.4,1324,1346,1,1.4,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2968,India,19,West Bengal,2538,MOREGRAM CROSSING,28,29,7,7.7,283,313,0.5,1.5,0.978,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2969,India,24,Gujarat,3236,"BOREWELL OF M/S ALFA ECA (I) LTD.,  UNIT-1, SR.NO.",28,30,7.7,8.4,1792,1880,1.5,1.5,1.9,4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2970,India,24,Gujarat,3237,"BOREWELL OF L & T LTD., PLOT NO.  144/146, SARKHEJ-",28,28,7.3,7.3,6390,6586,1.4,1.5,2,2.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2971,India,18,Assam,2258,GROUND WATER FROM GOALPARA DIST.  (GOALPARA COLLEGE ),28,29,6.6,6.8,250,256,0.5,1.6,2.3,2.5,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2972,India,19,West Bengal,1779,"DANKUNI (NEAR COAL COMPLEX),  WEST BENGAL",28,29,6.67,7.37,937,948,0.3,1.6,0.04,0.06,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2973,India,19,West Bengal,1774,"TOPSIA CALCUTTA, WEST  BENGAL",28,29,7.3,7.5,1680,1777,0.4,1.6,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2974,India,8,Rajasthan,3003,"BORE WELL OFFICE OF RAJ.  HOUSING BOARD, BHIWADI, RAJASTHAN",28,28,7.5,7.5,3500,3500,1.7,1.7,2.1,2.1,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2975,India,18,Assam,2255,"GROUND WATER NEAR BPRL, DHALIGAON",28,30,6.2,6.9,157,252,1,1.8,4.9,5.2,,,73,73,2016,2016,"Calendar Year (Jan - Dec), 2016"
2976,India,19,West Bengal,1813,"RISHRA, WEST BENGAL",28,28,7.3,7.9,261,924,0.5,1.8,0.1,0.9,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2977,India,8,Rajasthan,1712,"WELL AT VILLAGE BHIWADI ,  VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",28,28,7.7,7.7,1600,1600,1.8,1.8,0.5,0.5,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
2978,India,27,Maharashtra,2833,"Dug well No.-1 at Group Gram  Panchayat at Arketwadi, near Masjid Village- Arketwadi,Taluka- Khed,  District- Ratnagiri.",28,28,7.8,7.8,307,307,2,2,0.74,1,,,70,70,2013,2013,"Calendar Year (Jan - Dec), 2013"
2979,India,19,West Bengal,1778,"DOMJUR HOWRAH, WEST BENGAL",28,28,7.3,7.6,708,817,2,2,0,0.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2980,India,19,West Bengal,1773,"TANGRA, CALCUTTA ,WEST  BENGAL",28,29,7.5,7.8,1943,2146,0.6,2,0,0.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2981,India,19,West Bengal,1774,TOPSIA CALCUTTA,28,30,7,7.4,1785,1792,0.5,2.1,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2982,India,24,Gujarat,3220,"BOREWELL OF GIDC-NADIAD AT GIDC  OFFICE, GIDC NADIA",28,30,8.2,8.3,2630,2770,0,2.1,0.8,2.7,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2983,India,24,Gujarat,2098,"BORE WELL OF PIRANA TERMINAL  PUMPING STATION, PIRA",28,30,7.5,8.2,2987,3076,1.2,2.1,2.6,4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2984,India,27,Maharashtra,2834,"Dug well No.2 at  Arketwadi.Village- Arketwadi, Taluka- Khed, District- Ratnagiri.",28,28,7.2,7.2,187,187,2.2,2.2,1.36,1,,,60,60,2013,2013,"Calendar Year (Jan - Dec), 2013"
2985,India,19,West Bengal,2528,GROUND WATER POINT INSIDE  BURDWAN UNIVERSITY,28,29,7,7.4,371,495,0.8,2.4,0.4,0.9,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2986,India,24,Gujarat,3209,"BOREWELL OF GAYATRI PRAGNA  SCHOOL, BHADARWAD ROAD,",28,28,8.1,8.3,864,1770,0.8,2.4,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2987,India,24,Gujarat,3,"WELL AT AHMEDABAD, GUJARAT",28,30,7.47,7.7,1402,1402,1.5,2.4,2,3.86,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2988,India,18,Assam,2257,GROUND WATER FROM DHUBRI  DISTRICT (COLLEGE NAGAR ),28,28,6.4,7.5,434,702,1.9,2.5,0.9,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
2989,India,23,Madhya Pradesh,2145,"MEHATWAS, NAGDA",28,29,7.76,7.8,1850,2514,1,2.5,4.1,4.1,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2990,India,19,West Bengal,1937,RAJARHAT - NEW TOWNSHIP,28,30,7.9,8,255,997,1.5,2.7,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2991,India,27,Maharashtra,2832,"Dug well No.1 at  Brahmanwadi-Anjanwel,owned by Shri. Vaidya. Village- Anjanwel,Taluka-  Guhagar, District- Ratnagiri.",28,28,7.1,7.1,86,86,2.8,2.8,0.56,1,,,90,90,2013,2013,"Calendar Year (Jan - Dec), 2013"
