Station name,srcStateName,Year,StateCode,StateName,IntermediateRatio
"NEW FATEHPURA, 200 FT.FROM  PANCHWATI NALLAH, UDAIPUR",RAJASTHAN,2019,8,RAJASTHAN,1
"TANGRA, CALCUTTA ,WEST  BENGAL",WEST BENGAL,2013,19,WEST BENGAL,1
DWARIKA AT BISHNUPUR TOWN,WEST BENGAL,2013,19,WEST BENGAL,1
JAMNAGAR,GUJARAT,2016,24,GUJARAT,1
"BOREWELL OF GIDC, JUNAGADH",GUJARAT,2016,24,GUJARAT,1
GROUND WATER AT MEHASANA,GUJARAT,2019,24,GUJARAT,1
"CHINHAT INDUSTRIAL AREA IN LUCKNOW NEAR M/S INDIA PESTICIDES LUCKNOW, U.P",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
FULBARI BARRAGE,WEST BENGAL,2017,19,WEST BENGAL,1
"M/S KANORIA CHEMICAL  SONBHADRA, U.P",Uttar Pradesh,2013,9,UTTAR PRADESH,1
B/W- HAZARDOUS W. DISPOSAL SITE (GUJ. ENVIRO P.& I. LTD. ),GUJARAT,2017,24,GUJARAT,1
TUBE WELL AT KANCHANPUR,TRIPURA,2018,16,TRIPURA,1
"SAHIBABAD INDUSTRIAL AREA,  GHAZIABAD, U.P",UTTAR PRADESH,2012,9,UTTAR PRADESH,1
"WELL AT BURARI, DELHI",DELHI,2018,7,DELHI,1
INSIDE KOLKATA LEATHER  COMPLEX,WEST BENGAL,2014,19,WEST BENGAL,1
"Hand Pump in the premises of  Zilla Parishad Primary School. Village- Bhugaon, Taluka- Wardha, District- Wardha.",Maharashtra,2013,27,MAHARASHTRA,1
"GIDC, HALOL, PANCHMAHAL",GUJARAT,2017,24,GUJARAT,1
PANTHAKKAL,PUDUCHERRY,2016,34,PUDUCHERRY,1
"WELL AT PUNALUR, KERALA",KERALA,2012,32,KERALA,1
BOREWELL IN SMAILPUR NEAR  CHRISTIAN HOSPITAL,JAMMU & KASHMIR,2019,1,JAMMU AND KASHMIR,1
"DUG WELL NO-1 AT  BRAHMANWADI  ANJANWEL OWNED BY  SHRI VAIDYA, GUHAGAR,  RATNAGIRI",MAHARASHTRA,2016,27,MAHARASHTRA,1
"BORE WELL OF M/S KUNDAN EDIBLE FOOD PRODUCT, KHUSKHERA, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"O/W. PEDDANUYYI -  VIZIANAGARAM, A.P",ANDHRA PRADESH,2013,28,ANDHRA PRADESH,1
GROUND WATER AT JUNAGADH,GUJARAT,2019,24,GUJARAT,1
"NEAR VSS MEDICAL COLLEGE, BURLA, SAMBALPUR",ODISHA,2018,21,ODISHA,1
"ATUL,VILLAGE G.W, (VALSAD)",GUJARAT,2016,24,GUJARAT,1
SURENDRANAGAR,Gujarat,2013,24,GUJARAT,1
"VILLAGE VINAYAKIA, JODHPUR  (HUKUM SINGH RATHORE)",Rajasthan,2013,8,RAJASTHAN,1
"BADAMBARI AREA, CUTTACK",ODISHA,2019,21,ODISHA,1
"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"HIDCO OFFICE, RAJARHAT",WEST BENGAL,2017,19,WEST BENGAL,1
"WELL AT KALAPET, PONDI.  UNIVER. ADMN. BLOCK, PONDICHERRY",PONDICHERRY,2013,34,PUDUCHERRY,1
"IFFCO, PHOOLPUR, ALLAHABAD,  U.P",Uttar Pradesh,2014,9,UTTAR PRADESH,1
BOREWELL NEAR  SWARNAMUKHI RIVER AT  SRIKALAHASTI,ANDHRA PRADESH,2019,28,ANDHRA PRADESH,1
"SAWARGAON, YAVATMAL",MAHARASHTRA,2019,27,MAHARASHTRA,1
DREAMLAND (SPRING),Meghalaya,2013,17,MEGHALAYA,1
"JAJMAU INDUSTRIAL AREA NO. 6 KANPUR, U.P",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST.",TELANGANA,2017,36,TELANGANA,1
"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, CHHINDWAR",MADHYA PRADESH,2017,23,MADHYA PRADESH,1
NALHATI RAILWAY STATION OF  BIRBHUM,WEST BENGAL,2019,19,WEST BENGAL,1
"AT NALAGARH, H.P",HIMACHAL PRADESH,2014,2,HIMACHAL PRADESH,1
TALCHER TOWN,ODISHA,2017,21,ODISHA,1
